cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr3B	426065	6805777	Chr3B	42661	7936304	93	0.9943548387096776
Chr3B	10012714	35806565	Chr3B	9739527	35641433	359	0.994682451253482
Chr3B	38137652	97070979	Chr3B	37750091	97449424	570	0.997098245614035
Chr3B	99457041	161932911	Chr3B	99623682	161564324	346	0.9950202312138728
Chr3B	163978483	202823600	Chr3B	161997723	201860923	227	0.9961277533039646
Chr3B	205225044	206704475	Chr3B	204257026	205735718	11	1.0
Chr3B	209383926	219278363	Chr3B	208402231	218248593	91	0.9996043956043956
Chr3B	223825022	227125651	Chr3B	222760654	226052056	13	1.0
Chr3B	230843333	241641396	Chr3B	229766725	242792308	55	0.9999454545454548
Chr3B	247259756	286548442	Chr3B	248388036	288025133	195	0.9994871794871794
Chr3B	295003050	296080909	Chr3B	294949370	296026185	4	1.0
Chr3B	302886633	307711148	Chr3B	304211216	309034983	7	0.9991428571428572
Chr3B	310640808	329207761	Chr3B	311997524	331374657	22	0.9994545454545456
Chr3B	333847811	350060262	Chr3B	335979213	352302978	24	0.9998333333333336
Chr3B	352247049	366914954	Chr3B	354484641	373569260	25	0.99964
Chr3B	372329308	375781155	Chr3B	376724729	380170360	8	0.999625
Chr3B	379265781	388195888	Chr3B	387035537	395937273	37	0.9976756756756756
Chr3B	467419141	479411889	Chr3B	476529160	488504997	74	0.9996756756756756
Chr3B	534283586	841027429	Chr3B	537447114	847135773	2513	0.9959721448467967
Chr3B	844287779	849103100	Chr3B	849965247	855661404	61	0.9912459016393445
