gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	1704726	1705861	+	1705293	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	1713113	1714951	+	1714032	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	1715319	1719239	-	1717279	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	1719683	1723182	-	1721432	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	1726161	1733056	+	1729608	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	1739700	1741489	+	1740594	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	1758313	1762443	+	1760378	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	1762857	1765879	-	1764368	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	1768988	1771947	-	1770467	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	1774534	1777196	-	1775865	1.0	0.999
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	1788740	1794716	-	1791728	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	1813405	1816682	+	1815043	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	1867408	1879182	-	1873295	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	2082405	2094855	-	2088630	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	2105011	2107068	-	2106039	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	2114159	2118128	-	2116143	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	2127982	2134738	+	2131360	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	2139419	2143837	-	2141628	1.0	1.0
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	2149712	2153302	+	2151507	1.0	1.0
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	2160406	2161524	-	2160965	1.0	1.0
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	2513634	2515939	-	2514786	1.0	1.0
