gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	917656	922130	+	919893	1.0	0.994
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	945594	949419	-	947506	1.0	0.993
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	1091701	1092078	+	1091889	1.0	0.994
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1651269	1655314	-	1653291	0.998	0.997
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1660113	1662831	-	1661472	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1697948	1704455	+	1701201	0.966	0.952
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1710062	1713224	+	1711643	1.0	0.982
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1869659	1872943	+	1871301	1.0	0.998
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1898463	1900328	+	1899395	0.97	0.958
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1943981	1946271	+	1945126	1.0	0.993
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1988295	1990967	+	1989631	0.998	0.983
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	2007765	2011126	+	2009445	1.0	0.999
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	2029885	2033086	+	2031485	1.0	0.999
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	2235312	2235611	-	2235461	1.0	1.0
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2475120	2475627	+	2475373	1.0	0.984
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2481461	2481877	+	2481669	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2527067	2527423	+	2527245	0.991	0.991
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2565062	2565488	+	2565275	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2575725	2576646	+	2576185	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2724174	2724660	-	2724417	1.0	0.996
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2860289	2862146	+	2861217	1.0	0.99
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2870502	2870979	+	2870740	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2876939	2877541	+	2877240	1.0	0.993
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	3063019	3063701	+	3063360	0.966	0.927
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	3080914	3083157	-	3082035	1.0	0.954
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	3096732	3097474	+	3097103	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	3103066	3106522	+	3104794	1.0	0.994
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	3350446	3351183	-	3350814	1.0	0.995
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	3356260	3357039	-	3356649	1.0	0.987
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	3375281	3375910	+	3375595	1.0	0.98
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	3402380	3403642	-	3403011	0.999	0.996
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	3424895	3425668	-	3425281	1.0	0.998
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	3462787	3468699	+	3465743	1.0	0.995
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	3481438	3483218	-	3482328	1.0	0.997
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	3561864	3563078	-	3562471	1.0	0.999
gene:TraesCS3A03G0015600	Chr3A	7363585	7366969	+	7365277	Chr3A	3577471	3580854	+	3579162	1.0	0.998
gene:TraesCS3A03G0015800	Chr3A	7380064	7383852	-	7381958	Chr3A	3597069	3600853	-	3598961	0.997	0.991
gene:TraesCS3A03G0016000	Chr3A	7452849	7457127	-	7454988	Chr3A	3665977	3670351	-	3668164	0.996	0.949
gene:TraesCS3A03G0016300	Chr3A	7500062	7500565	-	7500313	Chr3A	3692672	3693175	-	3692923	1.0	0.998
gene:TraesCS3A03G0016400	Chr3A	7504661	7506864	-	7505762	Chr3A	3697310	3699522	-	3698416	0.997	0.983
gene:TraesCS3A03G0016800	Chr3A	7541942	7543943	-	7542942	Chr3A	3734202	3736221	-	3735211	0.998	0.973
gene:TraesCS3A03G0017200	Chr3A	7711376	7711747	+	7711561	Chr3A	3892150	3892521	+	3892335	1.0	0.991
gene:TraesCS3A03G0017400	Chr3A	7713418	7714814	+	7714116	Chr3A	3895011	3896383	+	3895697	0.969	0.949
gene:TraesCS3A03G0017500	Chr3A	7835763	7836658	+	7836210	Chr3A	3941323	3942240	+	3941781	0.978	0.925
