cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr1B	706647	31339892	Chr1B	345529	33860277	414	0.9955483091787439
Chr1B	34045861	38402288	Chr1B	35705493	40830262	30	0.9882666666666666
Chr1B	40611674	81974218	Chr1B	42965608	83741934	313	0.9977891373801917
Chr1B	86500196	91210816	Chr1B	90338832	95049524	18	0.9995555555555556
Chr1B	93460686	213678225	Chr1B	97340653	217026154	567	0.9990582010582013
Chr1B	219113425	223822831	Chr1B	222413357	227089214	13	0.9996923076923078
Chr1B	226868456	237708948	Chr1B	230959092	241805583	15	0.9998
Chr1B	240313663	243418522	Chr1B	244405479	246547984	6	0.9984999999999999
Chr1B	246841035	249142619	Chr1B	251003314	253272502	6	1.0
Chr1B	251958660	255519152	Chr1B	259561481	263098301	8	0.997625
Chr1B	270801449	272283175	Chr1B	277548819	279044616	8	0.9995
Chr1B	274419536	275603720	Chr1B	274251050	275425908	13	0.9994615384615385
Chr1B	288577439	296088628	Chr1B	296259272	303683980	33	0.9995757575757577
Chr1B	298738700	298817103	Chr1B	306383029	306461428	5	1.0
Chr1B	301350787	310018863	Chr1B	308956551	317767787	41	0.9937073170731706
Chr1B	313326285	324212763	Chr1B	318020259	331954246	46	0.9925652173913043
Chr1B	328166615	691844083	Chr1B	332362007	700594637	2753	0.9964191790773701
Chr1B	694046972	700379038	Chr1B	702739683	710039955	54	0.9988333333333332
