cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr4A	81328	3372735	Chr4A	7917789	11121323	56	0.996642857142857
Chr4A	8477201	11246567	Chr4A	18536	2804567	28	0.9997500000000002
Chr4A	54084528	58094644	Chr4A	62700352	66830229	21	0.9959999999999999
Chr4A	75809354	78736365	Chr4A	67131799	70116095	19	0.9966842105263158
Chr4A	64962344	70298466	Chr4A	75606868	80863607	41	0.9940243902439025
Chr4A	255891836	264172555	Chr4A	299377512	307612319	14	0.9993571428571429
Chr4A	266692038	291455005	Chr4A	245647630	326511684	37	0.9986756756756757
Chr4A	293591696	312125594	Chr4A	255738654	274274298	26	0.9994615384615385
Chr4A	317950774	326248331	Chr4A	280066133	288354032	54	0.9992222222222222
Chr4A	3428296	8171592	Chr4A	3109689	7862216	79	0.9974303797468356
Chr4A	11266506	52597423	Chr4A	11288218	52433283	400	0.996515
Chr4A	58214553	63117812	Chr4A	57690595	62594247	47	0.9938085106382979
Chr4A	70786719	75426387	Chr4A	70476815	75131877	36	0.9931666666666664
Chr4A	81244931	130332624	Chr4A	81232250	130407470	281	0.9957046263345196
Chr4A	132517055	192330869	Chr4A	132448726	191977264	258	0.99865503875969
Chr4A	194997349	219652885	Chr4A	194645329	219213944	45	0.9994444444444445
Chr4A	221731546	222175913	Chr4A	221292313	221768308	3	1.0
Chr4A	224910983	226677182	Chr4A	224486870	226246968	4	1.0
Chr4A	229114346	242431315	Chr4A	228627492	241936392	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	327949582	333147089	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	337615308	348923416	23	0.9998260869565219
Chr4A	351426691	353020297	Chr4A	351018169	352611960	4	1.0
Chr4A	355676988	358739297	Chr4A	355263320	358305496	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	360735928	364284144	5	1.0
Chr4A	372955440	386206032	Chr4A	374138366	387355388	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	389479850	391105079	3	1.0
Chr4A	394095303	397542408	Chr4A	395209966	398652244	6	1.0
Chr4A	399782828	400323386	Chr4A	400880902	401432051	3	0.999
Chr4A	406605144	419576751	Chr4A	407678468	420563697	17	0.9996470588235294
Chr4A	421807811	507495678	Chr4A	422793181	508000577	417	0.9982086330935251
Chr4A	509609425	641040255	Chr4A	510112475	644176464	1483	0.9975333782872556
Chr4A	664152825	668939026	Chr4A	663764861	668814421	43	0.9989767441860465
Chr4A	688562054	752401561	Chr4A	692258070	752144695	536	0.9908824626865673
Chr4A	641496064	663838475	Chr4A	669150975	691778263	140	0.9990214285714286
Chr4A	669049077	690268405	Chr4A	644251060	695584610	253	0.9980434782608696
