gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	1091836	1094807	+	1093321	1.0	1.0	collinear
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	1089948	1091824	+	1090886	1.0	1.0	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	907065	913717	+	910391	1.0	1.0	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	860520	862089	+	861304	1.0	0.999	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	316768	321638	-	319203	1.0	0.996	collinear
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	257703	262136	-	259919	1.0	1.0	collinear
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	82269	84287	+	83278	1.0	1.0	collinear
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	54444	55920	+	55182	1.0	1.0	collinear
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	49353	49958	+	49655	1.0	1.0	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	20365	22386	-	21375	1.0	0.997	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1252627	1253564	+	1253095	1.0	1.0	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1260947	1265307	-	1263127	1.0	1.0	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1273579	1278276	+	1275927	1.0	1.0	collinear
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1287226	1288272	-	1287749	1.0	1.0	collinear
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1294264	1294651	+	1294457	1.0	1.0	collinear
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1302168	1302665	-	1302416	1.0	1.0	collinear
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1304674	1305648	+	1305161	1.0	1.0	collinear
gene:TraesCS6A03G0002800	Chr6A	1493591	1500030	+	1496810	Chr6A	1353414	1359854	+	1356634	1.0	1.0	collinear
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1395138	1402051	+	1398594	1.0	1.0	collinear
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1404223	1408651	-	1406437	1.0	1.0	collinear
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1418189	1424475	+	1421332	1.0	1.0	collinear
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	1431475	1433059	-	1432267	1.0	0.999	collinear
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	1444641	1447340	+	1445990	1.0	1.0	collinear
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	1450080	1452634	-	1451357	1.0	1.0	collinear
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	1572333	1579032	+	1575682	1.0	1.0	collinear
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	1577427	1579773	-	1578600	1.0	1.0	collinear
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	1580565	1582060	-	1581312	1.0	1.0	collinear
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	1582508	1587370	-	1584939	1.0	1.0	collinear
