gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS2A03G0000200	Chr2A	250369	258919	+	254644	Chr2A	263162	270884	+	267023	0.904	0.904
gene:TraesCS2A03G0000300	Chr2A	259362	263505	-	261433	Chr2A	271327	275470	-	273398	1.0	1.0
gene:TraesCS2A03G0000600	Chr2A	272656	273599	-	273127	Chr2A	284623	285566	-	285094	1.0	0.998
gene:TraesCS2A03G0000700	Chr2A	279352	289424	+	284388	Chr2A	291325	301318	+	296321	0.996	0.996
gene:TraesCS2A03G0001000	Chr2A	326315	327315	-	326815	Chr2A	338213	339212	-	338712	1.0	0.996
gene:TraesCS2A03G0001200	Chr2A	389113	391290	+	390201	Chr2A	400985	403162	+	402073	1.0	0.998
gene:TraesCS2A03G0001400	Chr2A	396069	400877	-	398473	Chr2A	407921	412717	-	410319	0.995	0.995
gene:TraesCS2A03G0001500	Chr2A	471994	473071	-	472532	Chr2A	483950	485015	-	484482	1.0	1.0
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	510850	514459	+	512654	1.0	0.999
gene:TraesCS2A03G0001800	Chr2A	511382	514968	+	513175	Chr2A	523324	526910	+	525117	1.0	0.999
gene:TraesCS2A03G0001900	Chr2A	523708	527051	+	525379	Chr2A	535628	538971	+	537299	1.0	0.999
gene:TraesCS2A03G0002000	Chr2A	527668	531424	-	529546	Chr2A	539588	543340	-	541464	1.0	1.0
gene:TraesCS2A03G0002200	Chr2A	531622	534531	+	533076	Chr2A	543538	546447	+	544992	1.0	1.0
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	644249	647164	-	645706	1.0	0.995
gene:TraesCS2A03G0003200	Chr2A	723635	725724	+	724679	Chr2A	849576	851648	+	850612	0.985	0.978
gene:TraesCS2A03G0003300	Chr2A	728142	730497	+	729319	Chr2A	852518	854863	+	853690	0.993	0.985
gene:TraesCS2A03G0003600	Chr2A	780091	780912	+	780501	Chr2A	898799	899620	+	899209	1.0	0.995
gene:TraesCS2A03G0003700	Chr2A	811926	812799	+	812362	Chr2A	937851	938724	+	938287	1.0	0.994
gene:TraesCS2A03G0003900	Chr2A	884928	885681	+	885304	Chr2A	1014457	1015210	+	1014833	1.0	0.99
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	1273659	1275262	-	1274460	1.0	1.0
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	1468356	1469384	-	1468870	1.0	1.0
gene:TraesCS2A03G0005800	Chr2A	1428836	1440401	-	1434618	Chr2A	1474161	1485760	-	1479960	0.999	0.991
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	1710253	1710750	+	1710501	1.0	1.0
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	1788972	1790683	+	1789827	1.0	0.999
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	1878976	1880953	+	1879964	1.0	1.0
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	1885742	1887652	-	1886697	1.0	1.0
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	1959399	1964664	-	1962031	1.0	1.0
