cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3B	220186	85340142	Chr3B	1358794	93228191	854	0.9892213114754098
Chr3B	87718232	191189469	Chr3B	95589932	196472186	583	0.9962109777015437
Chr3B	193609697	195100861	Chr3B	198790333	200273699	11	0.9998181818181819
Chr3B	197792489	207735313	Chr3B	202957440	212747775	69	0.9985797101449275
Chr3B	212297313	215613173	Chr3B	217293984	220573198	13	0.9997692307692307
Chr3B	219342949	230195021	Chr3B	224283172	234969714	53	0.9968490566037735
Chr3B	235855911	277099960	Chr3B	240621583	282557100	194	0.99590206185567
Chr3B	283596077	284678121	Chr3B	289388776	290507018	4	0.9935
Chr3B	289595308	296187942	Chr3B	290686053	301304505	7	0.9912857142857144
Chr3B	299132814	317625373	Chr3B	304781373	324825906	24	0.9964166666666667
Chr3B	322293448	338599491	Chr3B	329492305	346492179	24	0.9939166666666667
Chr3B	340796436	355438414	Chr3B	348679657	366970050	25	0.99536
Chr3B	360111849	366550491	Chr3B	368133076	374295909	11	0.9977272727272729
Chr3B	370933637	466686636	Chr3B	379151222	478084070	497	0.9959979879275653
Chr3B	469640104	514129864	Chr3B	480972410	524934791	256	0.994953125
Chr3B	519052799	598995647	Chr3B	524983339	603325102	571	0.9958336252189142
Chr3B	602303142	830611341	Chr3B	603634001	835503251	1981	0.9927218576476526
