gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS7A02G189300	Chr7A	146677500	146678632	+	146678066	Chr7A	176216404	176217535	-	176216969	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G189400	Chr7A	146676886	146680544	-	146678715	Chr7A	176214500	176218149	+	176216324	0.997	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G189500	Chr7A	146907954	146910101	+	146909027	Chr7A	175998227	176000373	-	175999300	0.999	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G189600	Chr7A	146949436	146951975	+	146950705	Chr7A	175956366	175958905	-	175957635	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G189700	Chr7A	146975579	146977637	-	146976608	Chr7A	175938195	175940255	+	175939225	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G189900	Chr7A	147068788	147071706	-	147070247	Chr7A	175841070	175843988	+	175842529	1.0	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G190000	Chr7A	147910498	147912714	+	147911606	Chr7A	174929179	174931395	-	174930287	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G190100	Chr7A	147918707	147920065	-	147919386	Chr7A	174921799	174923160	+	174922479	1.0	0.99	rearrangement:Chr7A_block2
gene:TraesCS7A02G190200	Chr7A	147921887	147924552	-	147923219	Chr7A	174917200	174919946	+	174918573	0.999	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G190300	Chr7A	147925922	147937465	-	147931693	Chr7A	174904248	174915793	+	174910020	0.997	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G190400	Chr7A	148375327	148376172	+	148375749	Chr7A	174492918	174493763	-	174493340	1.0	0.989	rearrangement:Chr7A_block2
gene:TraesCS7A02G190500	Chr7A	148392769	148399775	+	148396272	Chr7A	174469334	174476342	-	174472838	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190600	Chr7A	148414887	148418041	+	148416464	Chr7A	174446435	174449589	-	174448012	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190700	Chr7A	148480258	148494419	-	148487338	Chr7A	174369962	174383947	+	174376954	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190800	Chr7A	148656416	148658383	+	148657399	Chr7A	174207710	174209677	-	174208693	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G190900	Chr7A	148807635	148809759	+	148808697	Chr7A	174057854	174059974	-	174058914	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G191000	Chr7A	148832126	148832719	-	148832422	Chr7A	174035165	174035758	+	174035461	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G191100	Chr7A	148986014	148988455	-	148987234	Chr7A	173874211	173876648	+	173875429	0.997	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G191200	Chr7A	149166829	149168028	+	149167428	Chr7A	173688143	173689342	-	173688742	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G191300	Chr7A	149292238	149299527	+	149295882	Chr7A	173568741	173576569	-	173572655	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G191400	Chr7A	149302902	149306212	+	149304557	Chr7A	173562330	173565640	-	173563985	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G191500	Chr7A	149313436	149316528	+	149314982	Chr7A	173552234	173555326	-	173553780	1.0	0.989	rearrangement:Chr7A_block2
gene:TraesCS7A02G191600	Chr7A	149316906	149317802	-	149317354	Chr7A	173550960	173551856	+	173551408	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G191700	Chr7A	149424588	149426530	-	149425559	Chr7A	173434157	173436099	+	173435128	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G191800	Chr7A	149601410	149603070	+	149602240	Chr7A	173227827	173229487	-	173228657	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G191900	Chr7A	149860915	149862723	-	149861819	Chr7A	172972280	172974092	+	172973186	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G192000	Chr7A	149866055	149869947	-	149868001	Chr7A	172965020	172968962	+	172966991	1.0	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G192200	Chr7A	150186668	150207181	+	150196924	Chr7A	172507462	172534249	-	172520855	1.0	0.991	rearrangement:Chr7A_block2
gene:TraesCS7A02G192400	Chr7A	150328263	150329767	-	150329015	Chr7A	172391813	172393286	+	172392549	0.979	0.978	rearrangement:Chr7A_block2
gene:TraesCS7A02G192500	Chr7A	150418491	150420566	-	150419528	Chr7A	172314470	172316545	+	172315507	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G192600	Chr7A	150442982	150445335	-	150444158	Chr7A	172289652	172292041	+	172290846	1.0	0.981	rearrangement:Chr7A_block2
gene:TraesCS7A02G192700	Chr7A	150559665	150561813	+	150560739	Chr7A	172177556	172179830	-	172178693	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G192800	Chr7A	150728816	150730384	-	150729600	Chr7A	172020351	172021919	+	172021135	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G192900	Chr7A	150880565	150881902	+	150881233	Chr7A	171869795	171871132	-	171870463	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G193000	Chr7A	150882284	150891381	-	150886832	Chr7A	171860277	171869413	+	171864845	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G193100	Chr7A	150904661	150910871	-	150907766	Chr7A	171840819	171847029	+	171843924	1.0	0.992	rearrangement:Chr7A_block2
gene:TraesCS7A02G193200	Chr7A	150981026	150985007	+	150983016	Chr7A	171772660	171776644	-	171774652	0.999	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G193300	Chr7A	150987471	150989255	+	150988363	Chr7A	171768408	171770195	-	171769301	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G193400	Chr7A	150989506	150993782	-	150991644	Chr7A	171763879	171768157	+	171766018	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G193500	Chr7A	150993797	151000278	-	150997037	Chr7A	171757384	171763864	+	171760624	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G193600	Chr7A	151327489	151328046	-	151327767	Chr7A	171453933	171454491	+	171454212	1.0	0.992	rearrangement:Chr7A_block2
gene:TraesCS7A02G193700	Chr7A	151381699	151383226	-	151382462	Chr7A	171395522	171397048	+	171396285	0.998	0.993	rearrangement:Chr7A_block2
gene:TraesCS7A02G193800	Chr7A	151862672	151863937	+	151863304	Chr7A	170900465	170901730	-	170901097	1.0	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G193900	Chr7A	151874323	151875361	+	151874842	Chr7A	170889418	170890456	-	170889937	1.0	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G194000	Chr7A	151960340	151961653	-	151960996	Chr7A	170802924	170804237	+	170803580	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G194100	Chr7A	152084396	152085775	+	152085085	Chr7A	170707045	170708424	-	170707734	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G194200	Chr7A	152507053	152508332	+	152507692	Chr7A	170234944	170236223	-	170235583	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G194300	Chr7A	152540384	152541552	+	152540968	Chr7A	170190195	170191363	-	170190779	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G194400	Chr7A	152543110	152550290	-	152546700	Chr7A	170181475	170188635	+	170185055	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G194500	Chr7A	152832641	152834428	+	152833534	Chr7A	169918204	169919991	-	169919097	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G194600	Chr7A	153376063	153381870	-	153378966	Chr7A	169004237	169010043	+	169007140	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G194700	Chr7A	154062737	154064285	+	154063511	Chr7A	168186756	168188304	-	168187530	1.0	0.993	rearrangement:Chr7A_block2
gene:TraesCS7A02G194800	Chr7A	154329966	154334011	-	154331988	Chr7A	167917965	167922010	+	167919987	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G194900	Chr7A	154384329	154386305	+	154385317	Chr7A	167865939	167867917	-	167866928	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G195000	Chr7A	154387196	154390235	-	154388715	Chr7A	167862009	167865048	+	167863528	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G195100	Chr7A	154557786	154559276	-	154558531	Chr7A	167696556	167698047	+	167697301	1.0	0.993	rearrangement:Chr7A_block2
gene:TraesCS7A02G195200	Chr7A	154560366	154564714	-	154562540	Chr7A	167691505	167695855	+	167693680	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G195300	Chr7A	155259038	155260351	+	155259694	Chr7A	166986436	166987787	-	166987111	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G195400	Chr7A	155296066	155305869	-	155300967	Chr7A	166944539	166953854	+	166949196	0.988	0.982	rearrangement:Chr7A_block2
gene:TraesCS7A02G195500	Chr7A	155510847	155513308	+	155512077	Chr7A	166750744	166753205	-	166751974	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G195600	Chr7A	155599666	155603973	-	155601819	Chr7A	166637469	166641776	+	166639622	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G195700	Chr7A	155643310	155644710	-	155644010	Chr7A	166596764	166598164	+	166597464	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G195800	Chr7A	155645304	155646696	-	155646000	Chr7A	166594778	166596170	+	166595474	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G195900	Chr7A	155647347	155657766	-	155652556	Chr7A	166584045	166594122	+	166589083	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G196000	Chr7A	155951801	155952750	+	155952275	Chr7A	166305358	166306309	-	166305833	0.998	0.985	rearrangement:Chr7A_block2
gene:TraesCS7A02G196100	Chr7A	155965323	155968273	-	155966798	Chr7A	166289838	166292788	+	166291313	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G196200	Chr7A	156102788	156107540	+	156105164	Chr7A	166162461	166167213	-	166164837	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G196300	Chr7A	156112016	156116469	+	156114242	Chr7A	166153551	166158002	-	166155776	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G196400	Chr7A	156128576	156132368	+	156130472	Chr7A	166137657	166141442	-	166139549	0.994	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G196500	Chr7A	156267495	156269051	+	156268273	Chr7A	166004238	166005794	-	166005016	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G196600	Chr7A	156317994	156321027	+	156319510	Chr7A	165952963	165955995	-	165954479	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G196700	Chr7A	156549057	156550919	+	156549988	Chr7A	165725556	165727415	-	165726485	0.998	0.997	rearrangement:Chr7A_block2
