cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr2A	7808125	240818173	Chr2A	8900222	245740697	1779	0.9926728499156829
Chr2A	249151448	252091236	Chr2A	254043017	256943408	6	0.9996666666666667
Chr2A	255910505	258353437	Chr2A	260740825	263200164	8	0.9998750000000001
Chr2A	260548731	262579565	Chr2A	265366294	267392940	7	0.9998571428571429
Chr2A	265274570	273294992	Chr2A	270071485	278141153	16	0.9993750000000001
Chr2A	275352399	281746218	Chr2A	280180623	286525864	23	0.9999130434782609
Chr2A	283944564	286439768	Chr2A	288694657	291178875	5	0.9996
Chr2A	331195967	335848607	Chr2A	335176248	339779873	27	0.9953703703703703
Chr2A	340608829	341927845	Chr2A	345277051	347228492	3	1.0
Chr2A	349224718	353475914	Chr2A	353201575	357436952	10	0.9996
Chr2A	364470917	366383663	Chr2A	365706376	367605638	5	1.0
Chr2A	369202998	395710262	Chr2A	373899910	400482451	91	0.9990000000000001
Chr2A	398464297	398971793	Chr2A	405147001	405641593	4	1.0
Chr2A	405468040	486499474	Chr2A	410116809	490552245	273	0.9986080586080587
Chr2A	488847564	547776466	Chr2A	492878921	551379341	306	0.9961372549019607
Chr2A	563939865	569213395	Chr2A	566869369	571526310	39	0.9942820512820509
Chr2A	582840575	761027623	Chr2A	586340980	763451159	1940	0.9950829896907217
Chr2A	770010489	774431954	Chr2A	771099816	775343765	58	0.9937413793103448
