gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS4A02G067300	Chr4A	64956484	64958633	+	64957558	Chr4A	80733800	80735949	-	80734874	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G067400	Chr4A	65456768	65466040	+	65461404	Chr4A	80233552	80242826	-	80238189	0.999	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G067500	Chr4A	65466129	65467525	+	65466827	Chr4A	80232067	80233463	-	80232765	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G067600	Chr4A	65776911	65777572	+	65777241	Chr4A	79923160	79923821	-	79923490	1.0	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G067700	Chr4A	66141610	66147352	+	66144481	Chr4A	79585470	79591202	-	79588336	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G067800	Chr4A	66147706	66148263	-	66147984	Chr4A	79584559	79585116	+	79584837	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G067900	Chr4A	66338112	66340516	+	66339314	Chr4A	79393688	79396092	-	79394890	1.0	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G068100	Chr4A	66605211	66608413	+	66606812	Chr4A	79117322	79120837	-	79119079	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G068200	Chr4A	66608835	66609979	-	66609407	Chr4A	79115756	79116900	+	79116328	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G068300	Chr4A	66801452	66802555	-	66802003	Chr4A	78983841	78984947	+	78984394	0.989	0.936	rearrangement:Chr4A_block2
gene:TraesCS4A02G068400	Chr4A	66909705	66911330	+	66910517	Chr4A	78813485	78815110	-	78814297	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G068500	Chr4A	66928370	66929657	+	66929013	Chr4A	78800938	78802225	-	78801581	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G068600	Chr4A	66931184	66932387	+	66931785	Chr4A	78798183	78799343	-	78798763	0.964	0.957	rearrangement:Chr4A_block2
gene:TraesCS4A02G068700	Chr4A	66935027	66936119	+	66935573	Chr4A	78794441	78795536	-	78794988	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G068900	Chr4A	67259908	67261208	+	67260558	Chr4A	78428391	78429691	-	78429041	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G069000	Chr4A	67261276	67270137	-	67265706	Chr4A	78419392	78428323	+	78423857	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G069100	Chr4A	67297696	67298518	+	67298107	Chr4A	78392722	78393544	-	78393133	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G069200	Chr4A	67414651	67417093	+	67415872	Chr4A	78275450	78277892	-	78276671	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G069300	Chr4A	67424351	67424671	-	67424511	Chr4A	78267874	78268193	+	78268033	0.996	0.981	rearrangement:Chr4A_block2
gene:TraesCS4A02G069700	Chr4A	67553381	67553908	-	67553644	Chr4A	78126118	78126645	+	78126381	1.0	0.988	rearrangement:Chr4A_block2
gene:TraesCS4A02G070500	Chr4A	67891133	67894905	-	67893019	Chr4A	77809368	77813138	+	77811253	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G070600	Chr4A	67989337	67991245	+	67990291	Chr4A	77725297	77727205	-	77726251	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G070700	Chr4A	68124254	68126251	-	68125252	Chr4A	77590762	77592759	+	77591760	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G070800	Chr4A	68140967	68143747	+	68142357	Chr4A	77558903	77561683	-	77560293	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G070900	Chr4A	68152624	68156905	-	68154764	Chr4A	77543388	77547738	+	77545563	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G071000	Chr4A	68455101	68464028	-	68459564	Chr4A	77261963	77270886	+	77266424	1.0	0.99	rearrangement:Chr4A_block2
gene:TraesCS4A02G071100	Chr4A	68467158	68470498	-	68468828	Chr4A	77255495	77258835	+	77257165	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G071200	Chr4A	68560885	68566464	-	68563674	Chr4A	77169824	77175410	+	77172617	1.0	0.978	rearrangement:Chr4A_block2
gene:TraesCS4A02G071300	Chr4A	68680979	68684907	+	68682943	Chr4A	77045664	77049592	-	77047628	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G071400	Chr4A	68688963	68691716	+	68690339	Chr4A	77038816	77041589	-	77040202	0.999	0.982	rearrangement:Chr4A_block2
gene:TraesCS4A02G071500	Chr4A	68957374	68960342	+	68958858	Chr4A	76786581	76789549	-	76788065	1.0	0.999	rearrangement:Chr4A_block2
