cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr1B	149474644	150802398	Chr1B	165984627	167351787	10	0.9899000000000001
Chr1B	170911	76138867	Chr1B	167398	83133916	649	0.9878597842835131
Chr1B	80709308	85441230	Chr1B	88115529	92832895	17	0.9868823529411763
Chr1B	87732453	123973559	Chr1B	94973230	139246637	190	0.991057894736842
Chr1B	129176801	148895851	Chr1B	139396146	158668085	108	0.9925648148148147
Chr1B	151001191	202009382	Chr1B	158976890	211973281	203	0.9958423645320197
Chr1B	204409117	211319320	Chr1B	213819314	221574945	10	0.9969999999999999
Chr1B	213326340	218433567	Chr1B	223504291	228224288	12	0.992
Chr1B	239778311	243089038	Chr1B	238364915	240592010	6	0.9914999999999999
Chr1B	249237251	249627643	Chr1B	245098835	245467476	3	0.9966666666666666
Chr1B	252027726	272879695	Chr1B	245747407	268380063	61	0.9972950819672132
Chr1B	275358596	289694136	Chr1B	270631947	284545830	50	0.9939
Chr1B	292342566	292422556	Chr1B	287196560	287269079	4	0.9995
Chr1B	294946215	317917199	Chr1B	289777243	317295191	83	0.9885783132530122
Chr1B	322108938	346402902	Chr1B	317986885	342349670	153	0.9943267973856209
Chr1B	348488829	689851652	Chr1B	344352561	690323307	2563	0.9930901287553648
Chr1B	685364395	685825101	Chr1B	690574865	691212530	12	0.9976666666666668
