cs_chr	Spelt_tgt_chr	n_anchors	Spelt_mean_anchor_gap_Mb	Spelt_interp_type	n_segments	Spelt_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	4041	0.375	pchip_inverted+linear	2	0.932
Chr1B	Chr1B+Chr1B+Chr1B	4134	0.119	pchip_inverted+linear+linear	3	0.875
Chr1D	Chr1D	4364	0.114	linear	1	0.98
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5065	0.295	linear+linear+linear+linear+linear+linear	6	0.927
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B	5274	0.233	pchip_inverted+pchip_inverted+pchip+linear	4	0.907
Chr2D	Chr2D+Chr2D	5528	0.1	linear+pchip_inverted	2	0.968
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4917	0.113	linear+pchip_inverted+pchip_inverted+pchip+pchip	5	0.957
Chr3B	Chr3B+Chr3B	5199	0.182	pchip_inverted+linear	2	0.912
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5057	0.145	linear+pchip_inverted+pchip_inverted+linear	4	0.973
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	3653	0.357	pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	7	0.749
Chr4B	Chr4B	3527	0.191	linear	1	0.781
Chr4D	Chr4D+Chr4D	3523	0.101	linear+linear	2	0.99
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5121	0.122	pchip+pchip_inverted+pchip_inverted+linear+pchip_inverted	5	0.927
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5062	0.13	linear+linear+linear+pchip+linear	5	0.891
Chr5D	Chr5D+Chr5D+Chr5D	5397	0.062	linear+pchip_inverted+pchip	3	0.977
Chr6A	Chr6A+Chr6A	2934	0.156	pchip+linear	2	0.858
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3906	0.175	pchip+pchip+linear+pchip_inverted+pchip_inverted+pchip	6	0.807
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3636	0.099	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.938
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5011	0.108	pchip_inverted+linear+pchip_inverted+linear	4	0.942
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4140	0.339	pchip+linear+pchip+linear	4	0.836
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D+Chr7D	5266	0.18	pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	5	0.979
