cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr7B	34838	34672411	Chr7B	61177	35026380	314	0.9944171974522293
Chr7B	40440038	154814815	Chr7B	35213051	150729954	822	0.9933868613138686
Chr7B	261042926	277208196	Chr7B	260146922	276414213	25	0.9917599999999999
Chr7B	286835494	287943968	Chr7B	285930981	287101178	4	0.988
Chr7B	295082068	296338725	Chr7B	285621159	292841862	3	0.995
Chr7B	310413787	312442469	Chr7B	303825007	305252786	5	0.9954000000000001
Chr7B	337929275	339223535	Chr7B	329245695	330461506	3	0.9996666666666667
Chr7B	357994137	362539197	Chr7B	349951773	354521619	8	0.9978750000000001
Chr7B	364699839	389109218	Chr7B	355092760	379362412	121	0.9974380165289256
Chr7B	391956637	405970176	Chr7B	380939196	395527182	52	0.9969615384615385
Chr7B	408568404	419042240	Chr7B	398102296	408614892	45	0.9990666666666668
Chr7B	421064524	541167218	Chr7B	410601728	532808630	757	0.99556142668428
Chr7B	543188151	734772755	Chr7B	534808315	722477260	1375	0.9901243636363637
Chr7B	739384559	745356617	Chr7B	722900071	731894049	74	0.9856486486486485
Chr7B	749332248	750609249	Chr7B	726034973	727734611	18	0.9618888888888889
