cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr4A	64957558	69980687	Chr4A	75747121	80734874	38	0.9933684210526317
Chr4A	54108293	57519079	Chr4A	63187922	66691233	18	0.9978888888888888
Chr4A	75214223	78765803	Chr4A	66993694	70583779	31	0.9935483870967742
Chr4A	180270430	182218605	Chr4A	187663032	189523730	10	0.9964999999999998
Chr4A	188602297	190829377	Chr4A	179185922	181424952	6	0.9831666666666666
Chr4A	343793385	347401337	Chr4A	351577967	355098642	10	0.9948
Chr4A	356554191	358853011	Chr4A	337945674	340392111	5	0.998
Chr4A	82701	52611541	Chr4A	68970	52238562	566	0.9968003533568904
Chr4A	57814203	62358421	Chr4A	58174607	62888182	42	0.9965
Chr4A	70311778	74602357	Chr4A	71213102	75484393	28	0.9935
Chr4A	81276884	130504034	Chr4A	81103686	130019280	282	0.9969893617021275
Chr4A	132701921	179548850	Chr4A	132200739	178951200	228	0.9989342105263158
Chr4A	182895200	187576033	Chr4A	182434855	186989883	13	0.9974615384615384
Chr4A	191040601	192628546	Chr4A	190259497	191777714	5	0.9962
Chr4A	195391805	220022826	Chr4A	194492144	218326770	41	0.9937317073170733
Chr4A	222107768	222562036	Chr4A	220437491	220872291	3	0.9983333333333334
Chr4A	225313869	227091476	Chr4A	223565063	225498908	4	0.997
Chr4A	229493172	240021102	Chr4A	227586385	238378407	16	0.99525
Chr4A	242512092	242884659	Chr4A	240704469	241076472	3	0.9953333333333334
Chr4A	288678172	292926823	Chr4A	286985195	291157352	4	0.98775
Chr4A	338745706	342443342	Chr4A	333545628	337301821	6	0.9966666666666667
Chr4A	348504323	350244063	Chr4A	348895013	350452565	7	0.9915714285714287
Chr4A	362089683	365639149	Chr4A	358898589	362392502	5	0.9958
Chr4A	379030775	387104269	Chr4A	374312632	383552048	10	0.9955
Chr4A	389242085	390892975	Chr4A	385777376	387396947	3	0.9976666666666668
Chr4A	395027325	398506001	Chr4A	391447039	394659074	6	0.9958333333333332
Chr4A	400757887	401303656	Chr4A	396917380	397444799	3	0.9903333333333334
Chr4A	407610912	420517232	Chr4A	403773276	416426738	17	0.9915882352941177
Chr4A	422761993	508494353	Chr4A	418643887	503666676	415	0.998310843373494
Chr4A	510639254	641610833	Chr4A	505779640	636717375	1421	0.9960344827586207
Chr4A	662457527	667353665	Chr4A	655780416	661519448	50	0.9893199999999999
Chr4A	686530004	704646380	Chr4A	683850196	700890397	125	0.989816
Chr4A	707248137	712765404	Chr4A	701100651	710198831	58	0.9814827586206896
Chr4A	729682118	744433514	Chr4A	726418485	741088063	159	0.9824905660377359
