gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS1B02G123300	Chr1B	149474059	149475230	-	149474644	Chr1B	167351202	167352373	+	167351787	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G123400	Chr1B	149601252	149613588	-	149607420	Chr1B	167213512	167225852	+	167219682	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G123500	Chr1B	150059639	150064427	-	150062033	Chr1B	166731720	166736505	+	166734112	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G123600	Chr1B	150358691	150370301	+	150364496	Chr1B	166417919	166429524	-	166423721	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G123800	Chr1B	150523108	150523473	-	150523290	Chr1B	166263644	166264009	+	166263826	1.0	0.994	rearrangement:Chr1B_block1
gene:TraesCS1B02G123900	Chr1B	150538634	150541781	+	150540207	Chr1B	166246918	166249982	-	166248450	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G124000	Chr1B	150545594	150547291	-	150546442	Chr1B	166241651	166243349	+	166242500	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G124100	Chr1B	150662353	150664371	+	150663362	Chr1B	166126488	166128506	-	166127497	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G124200	Chr1B	150664578	150667762	-	150666170	Chr1B	166123000	166126281	+	166124640	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G124300	Chr1B	150800959	150803838	-	150802398	Chr1B	165984269	165984986	+	165984627	0.92	0.919	rearrangement:Chr1B_block1
gene:TraesCS1B02G000100	Chr1B	168082	173741	-	170911	Chr1B	164643	170154	-	167398	1.0	0.99	collinear
gene:TraesCS1B02G000200	Chr1B	459792	466556	-	463174	Chr1B	445506	453427	-	449466	1.0	1.0	collinear
gene:TraesCS1B02G000300	Chr1B	711793	713476	+	712634	Chr1B	693077	694760	+	693918	1.0	1.0	collinear
gene:TraesCS1B02G000400	Chr1B	721433	726438	-	723935	Chr1B	702717	707722	-	705219	1.0	1.0	collinear
gene:TraesCS1B02G000500	Chr1B	882170	885188	-	883679	Chr1B	861324	864342	-	862833	1.0	1.0	collinear
gene:TraesCS1B02G000600	Chr1B	1198799	1199794	+	1199296	Chr1B	1177445	1178440	+	1177942	1.0	1.0	collinear
gene:TraesCS1B02G000700	Chr1B	1201460	1203257	+	1202358	Chr1B	1180041	1181838	+	1180939	1.0	1.0	collinear
gene:TraesCS1B02G000800	Chr1B	1203582	1207214	-	1205398	Chr1B	1182162	1185794	-	1183978	1.0	1.0	collinear
gene:TraesCS1B02G000900	Chr1B	1208687	1213090	-	1210888	Chr1B	1187456	1191560	-	1189508	0.922	0.922	collinear
gene:TraesCS1B02G001000	Chr1B	1248713	1255880	+	1252296	Chr1B	1223687	1230818	+	1227252	0.992	0.992	collinear
gene:TraesCS1B02G001100	Chr1B	1258800	1260681	+	1259740	Chr1B	1233738	1235603	+	1234670	1.0	1.0	collinear
gene:TraesCS1B02G001200	Chr1B	1265734	1266622	-	1266178	Chr1B	1240619	1241507	-	1241063	1.0	1.0	collinear
gene:TraesCS1B02G001400	Chr1B	1272755	1344907	-	1308831	Chr1B	1247640	1319742	-	1283691	1.0	1.0	collinear
gene:TraesCS1B02G001500	Chr1B	1416127	1418511	+	1417319	Chr1B	1383234	1385618	+	1384426	1.0	1.0	collinear
gene:TraesCS1B02G001600	Chr1B	1419308	1422174	-	1420741	Chr1B	1386415	1389281	-	1387848	1.0	0.998	collinear
gene:TraesCS1B02G001700	Chr1B	1423557	1426829	-	1425193	Chr1B	1390664	1393791	-	1392227	1.0	0.997	collinear
gene:TraesCS1B02G001800	Chr1B	1430072	1436355	-	1433213	Chr1B	1397157	1403398	-	1400277	0.993	0.991	collinear
gene:TraesCS1B02G001900	Chr1B	1469939	1473067	+	1471503	Chr1B	1462113	1465225	+	1463669	0.998	0.977	collinear
gene:TraesCS1B02G002000	Chr1B	1522754	1534577	-	1528665	Chr1B	1606008	1617466	-	1611737	0.992	0.969	collinear
gene:TraesCS1B02G002600	Chr1B	1818420	1819343	-	1818881	Chr1B	2954128	2955052	+	2954590	1.0	0.968	collinear
gene:TraesCS1B02G002700	Chr1B	1826151	1829429	-	1827790	Chr1B	2940367	2943642	+	2942004	0.999	0.984	collinear
gene:TraesCS1B02G002900	Chr1B	1939037	1943192	-	1941114	Chr1B	3336900	3341022	-	3338961	0.99	0.983	collinear
gene:TraesCS1B02G003000	Chr1B	1971081	1973073	+	1972077	Chr1B	3368131	3370123	+	3369127	1.0	0.996	collinear
gene:TraesCS1B02G004100	Chr1B	2354630	2357674	-	2356152	Chr1B	2143257	2146295	-	2144776	0.998	0.997	collinear
gene:TraesCS1B02G004200	Chr1B	2537501	2540050	-	2538775	Chr1B	2326551	2329100	-	2327825	1.0	1.0	collinear
gene:TraesCS1B02G004300	Chr1B	2555943	2557543	-	2556743	Chr1B	2404046	2405646	-	2404846	1.0	1.0	collinear
gene:TraesCS1B02G004500	Chr1B	2617568	2618837	+	2618202	Chr1B	2412382	2413651	+	2413016	1.0	0.998	collinear
gene:TraesCS1B02G004600	Chr1B	2752457	2756795	-	2754626	Chr1B	2546313	2550651	-	2548482	1.0	1.0	collinear
gene:TraesCS1B02G004700	Chr1B	2917526	2920077	+	2918801	Chr1B	2719688	2722239	+	2720963	1.0	0.999	collinear
gene:TraesCS1B02G004800	Chr1B	3046414	3048699	+	3047556	Chr1B	2844208	2846253	+	2845230	0.997	0.989	collinear
gene:TraesCS1B02G004900	Chr1B	3144069	3147343	+	3145706	Chr1B	3181995	3185325	-	3183660	0.998	0.952	collinear
gene:TraesCS1B02G005200	Chr1B	3200087	3213520	+	3206803	Chr1B	6854059	6871357	+	6862708	1.0	0.995	collinear
gene:TraesCS1B02G005500	Chr1B	3574035	3575832	-	3574933	Chr1B	8664433	8666149	+	8665291	1.0	0.979	collinear
gene:TraesCS1B02G006300	Chr1B	3923636	3931437	+	3927536	Chr1B	9072287	9084084	+	9078185	0.994	0.941	collinear
gene:TraesCS1B02G006700	Chr1B	3952346	3954184	+	3953265	Chr1B	9157232	9159070	+	9158151	1.0	0.976	collinear
gene:TraesCS1B02G007600	Chr1B	4219905	4221185	+	4220545	Chr1B	9266954	9268218	+	9267586	0.975	0.902	collinear
gene:TraesCS1B02G007800	Chr1B	4320651	4326770	-	4323710	Chr1B	9330855	9336713	-	9333784	1.0	0.992	collinear
gene:TraesCS1B02G007900	Chr1B	4340022	4343180	+	4341601	Chr1B	9375766	9378920	+	9377343	0.996	0.99	collinear
gene:TraesCS1B02G008000	Chr1B	4345220	4352718	-	4348969	Chr1B	9380862	9388250	-	9384556	1.0	0.996	collinear
gene:TraesCS1B02G008300	Chr1B	4480185	4481605	-	4480895	Chr1B	9433401	9434824	-	9434112	0.998	0.916	collinear
gene:TraesCS1B02G008600	Chr1B	4516817	4520149	-	4518483	Chr1B	9737480	9740809	-	9739144	0.997	0.941	collinear
gene:TraesCS1B02G009300	Chr1B	4595787	4597245	-	4596516	Chr1B	9491064	9492522	-	9491793	1.0	1.0	collinear
gene:TraesCS1B02G009400	Chr1B	4632219	4646695	-	4639457	Chr1B	9525233	9539517	-	9532375	1.0	0.986	collinear
gene:TraesCS1B02G009500	Chr1B	4758811	4762395	-	4760603	Chr1B	9676151	9679751	-	9677951	1.0	0.986	collinear
gene:TraesCS1B02G009700	Chr1B	4811515	4814464	-	4812989	Chr1B	9719365	9722299	-	9720832	1.0	0.99	collinear
gene:TraesCS1B02G009800	Chr1B	4821131	4823741	-	4822436	Chr1B	9729366	9731991	-	9730678	0.998	0.984	collinear
gene:TraesCS1B02G010400	Chr1B	4965664	4966572	+	4966118	Chr1B	9783898	9784806	+	9784352	1.0	0.995	collinear
gene:TraesCS1B02G010500	Chr1B	4991748	4992641	-	4992194	Chr1B	9824446	9825339	+	9824892	1.0	0.976	collinear
gene:TraesCS1B02G010600	Chr1B	5003864	5004817	-	5004340	Chr1B	9810989	9811942	+	9811465	1.0	0.98	collinear
gene:TraesCS1B02G010700	Chr1B	5056936	5058000	+	5057468	Chr1B	9951748	9952831	+	9952289	0.985	0.911	collinear
gene:TraesCS1B02G010900	Chr1B	5137077	5138111	+	5137594	Chr1B	9983371	9984363	+	9983867	0.959	0.95	collinear
gene:TraesCS1B02G011000	Chr1B	5142047	5142922	+	5142484	Chr1B	9988283	9989158	+	9988720	1.0	0.997	collinear
gene:TraesCS1B02G011100	Chr1B	5157094	5160358	+	5158726	Chr1B	9994180	9997444	+	9995812	1.0	0.999	collinear
gene:TraesCS1B02G011200	Chr1B	5159471	5159817	-	5159644	Chr1B	9996557	9996903	-	9996730	1.0	1.0	collinear
gene:TraesCS1B02G011300	Chr1B	5175575	5176186	+	5175880	Chr1B	10012662	10013273	+	10012967	1.0	0.998	collinear
gene:TraesCS1B02G011400	Chr1B	5177355	5177573	+	5177464	Chr1B	10014440	10014658	+	10014549	1.0	0.995	collinear
gene:TraesCS1B02G011471	Chr1B	5381333	5381602	-	5381467	Chr1B	10205879	10206132	-	10206005	0.94	0.937	collinear
gene:TraesCS1B02G011500	Chr1B	5509787	5510370	+	5510078	Chr1B	10339189	10339772	+	10339480	1.0	0.998	collinear
gene:TraesCS1B02G012000	Chr1B	5851440	5857886	+	5854663	Chr1B	11200122	11206736	+	11203429	1.0	0.962	collinear
gene:TraesCS1B02G013100	Chr1B	6311226	6312457	-	6311841	Chr1B	11283022	11284253	-	11283637	1.0	1.0	collinear
gene:TraesCS1B02G013200	Chr1B	6327243	6327756	+	6327499	Chr1B	11298702	11299215	+	11298958	1.0	1.0	collinear
gene:TraesCS1B02G013300	Chr1B	6340632	6342219	+	6341425	Chr1B	11311977	11313564	+	11312770	1.0	0.999	collinear
gene:TraesCS1B02G013500	Chr1B	6436426	6437481	-	6436953	Chr1B	11379881	11380936	-	11380408	1.0	0.997	collinear
gene:TraesCS1B02G013600	Chr1B	6443685	6444927	-	6444306	Chr1B	11387140	11388385	-	11387762	1.0	1.0	collinear
gene:TraesCS1B02G013700	Chr1B	6456473	6456724	+	6456598	Chr1B	11399458	11399709	+	11399583	1.0	1.0	collinear
gene:TraesCS1B02G013800	Chr1B	6462742	6463043	+	6462892	Chr1B	11405723	11406024	+	11405873	1.0	0.993	collinear
gene:TraesCS1B02G013900	Chr1B	6473815	6477799	+	6475807	Chr1B	11416714	11420698	+	11418706	1.0	1.0	collinear
gene:TraesCS1B02G014000	Chr1B	6479152	6482613	+	6480882	Chr1B	11421812	11425273	+	11423542	1.0	1.0	collinear
gene:TraesCS1B02G014100	Chr1B	6485068	6487122	-	6486095	Chr1B	11427728	11429782	-	11428755	1.0	1.0	collinear
gene:TraesCS1B02G014300	Chr1B	6745825	6747256	-	6746540	Chr1B	11640257	11641688	-	11640972	1.0	0.988	collinear
gene:TraesCS1B02G014600	Chr1B	7128584	7130175	-	7129379	Chr1B	12586733	12588319	-	12587526	0.999	0.976	collinear
gene:TraesCS1B02G014700	Chr1B	7143675	7144968	+	7144321	Chr1B	12619649	12620942	+	12620295	1.0	0.997	collinear
gene:TraesCS1B02G014800	Chr1B	7252011	7257065	-	7254538	Chr1B	12507723	12512777	-	12510250	0.999	0.979	collinear
gene:TraesCS1B02G015100	Chr1B	7304930	7305391	+	7305160	Chr1B	13519449	13519910	-	13519679	1.0	0.922	collinear
gene:TraesCS1B02G015500	Chr1B	7543681	7544112	-	7543896	Chr1B	12750371	12750802	-	12750586	1.0	0.974	collinear
gene:TraesCS1B02G015700	Chr1B	7552212	7552643	-	7552427	Chr1B	22729821	22730252	+	22730036	1.0	0.981	collinear
gene:TraesCS1B02G015800	Chr1B	7555898	7556662	-	7556280	Chr1B	12753984	12754745	-	12754364	0.995	0.972	collinear
gene:TraesCS1B02G016100	Chr1B	7714907	7715746	-	7715326	Chr1B	12525151	12525980	-	12525565	0.988	0.967	collinear
gene:TraesCS1B02G016300	Chr1B	7926804	7928335	-	7927569	Chr1B	12602395	12603920	-	12603157	0.999	0.979	collinear
gene:TraesCS1B02G016400	Chr1B	7988894	7995986	+	7992440	Chr1B	12378209	12385526	+	12381867	0.999	0.963	collinear
gene:TraesCS1B02G016500	Chr1B	8062395	8063950	+	8063172	Chr1B	13718501	13720056	+	13719278	1.0	0.992	collinear
gene:TraesCS1B02G016600	Chr1B	8116677	8118238	+	8117457	Chr1B	13788428	13789981	+	13789204	1.0	0.996	collinear
gene:TraesCS1B02G016700	Chr1B	8144177	8149251	-	8146714	Chr1B	13817374	13820456	-	13818915	1.0	0.994	collinear
gene:TraesCS1B02G016900	Chr1B	8182655	8184884	+	8183769	Chr1B	13866222	13868451	+	13867336	1.0	0.99	collinear
gene:TraesCS1B02G017000	Chr1B	8204110	8204784	+	8204447	Chr1B	13887169	13887817	+	13887493	1.0	0.99	collinear
gene:TraesCS1B02G017100	Chr1B	8222272	8224224	+	8223248	Chr1B	13905151	13907103	+	13906127	1.0	0.996	collinear
gene:TraesCS1B02G017200	Chr1B	8249060	8255234	+	8252147	Chr1B	13959291	13965416	+	13962353	0.994	0.968	collinear
gene:TraesCS1B02G017300	Chr1B	8255692	8257056	+	8256374	Chr1B	13965880	13967237	+	13966558	0.991	0.945	collinear
gene:TraesCS1B02G017500	Chr1B	8411343	8414060	-	8412701	Chr1B	14126083	14128800	-	14127441	1.0	0.997	collinear
gene:TraesCS1B02G017600	Chr1B	8556295	8560477	+	8558386	Chr1B	14139231	14143207	+	14141219	0.944	0.94	collinear
gene:TraesCS1B02G017700	Chr1B	8658494	8659247	+	8658870	Chr1B	14243971	14244724	+	14244347	1.0	1.0	collinear
gene:TraesCS1B02G017800	Chr1B	8663173	8677747	+	8670460	Chr1B	14248651	14263225	+	14255938	1.0	1.0	collinear
