cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr6D	43783	26255608	Chr6D	81246	25624697	508	0.9972007874015748
Chr6D	42933120	52823618	Chr6D	41165118	51727637	80	0.9998125000000002
Chr6D	55105672	164765103	Chr6D	53180378	162716122	820	0.9991402439024392
Chr6D	166779487	214550301	Chr6D	164688619	211383077	67	0.9987462686567163
Chr6D	216846232	227401287	Chr6D	214669945	225131357	14	1.0
Chr6D	232122220	239805311	Chr6D	229797417	237403519	12	0.9935833333333334
Chr6D	242219199	280904417	Chr6D	239796412	279906331	144	0.9987083333333335
Chr6D	283156017	346074522	Chr6D	282145370	344599067	424	0.9995
Chr6D	348652621	353356176	Chr6D	346537559	351218497	38	0.9964210526315789
Chr6D	355857046	415028218	Chr6D	354334762	413218995	534	0.9990973782771536
Chr6D	417690848	473516145	Chr6D	415854616	471210346	922	0.9961247288503254
