cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr5A	14293	1241939	Chr5A	6349391	8287944	12	0.9865
Chr5A	8059222	60528080	Chr5A	8915625	62407295	430	0.9944395348837208
Chr5A	63377052	151734470	Chr5A	65185588	153162774	398	0.9958165829145729
Chr5A	155555039	159534199	Chr5A	157075816	160938002	13	0.9955384615384614
Chr5A	161914114	165331715	Chr5A	166653663	170015268	5	0.9968
Chr5A	170848678	180994113	Chr5A	172131953	182167993	15	0.9914000000000001
Chr5A	183430057	185651119	Chr5A	184583456	186834354	4	0.99875
Chr5A	191038029	199222973	Chr5A	192167170	200195501	16	0.9982500000000001
Chr5A	203479442	222599127	Chr5A	204424901	223856035	33	0.9978181818181819
Chr5A	224689467	237370335	Chr5A	226019731	238406355	28	0.9955714285714284
Chr5A	258775970	388640539	Chr5A	264886073	393473758	634	0.9986167192429023
Chr5A	394557489	399457446	Chr5A	396766962	401515907	57	0.9939649122807018
Chr5A	402540994	423746112	Chr5A	407278483	427493964	110	0.9965272727272727
Chr5A	426537435	709675600	Chr5A	427921463	710666557	3215	0.9943555209953344
