cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3D	1607658	20562380	Chr3D	155707	22289989	327	0.9854434250764527
Chr3D	299594493	310001277	Chr3D	322877737	333082992	83	0.9997951807228916
Chr3D	315479683	324312558	Chr3D	308661083	317432242	35	0.9997428571428574
Chr3D	325803	928063	Chr3D	4267405	4763983	8	0.92625
Chr3D	21204309	116408326	Chr3D	25144041	125470934	968	0.9990929752066117
Chr3D	118542402	193596645	Chr3D	127594621	202474517	421	0.9994631828978623
Chr3D	196947044	200390459	Chr3D	205807925	209191513	4	1.0
Chr3D	202614073	202651143	Chr3D	211640309	211676738	4	1.0
Chr3D	206979095	213997235	Chr3D	215973433	222941016	11	0.9990909090909091
Chr3D	216425033	219568689	Chr3D	225359747	228468956	6	1.0
Chr3D	225525420	232470513	Chr3D	234534896	241438117	13	0.9928461538461537
Chr3D	234603090	244292283	Chr3D	243547911	254202706	13	1.0
Chr3D	246327705	257173258	Chr3D	254998919	266947605	29	0.9996551724137931
Chr3D	259434941	298593191	Chr3D	269190804	308071110	140	0.9987499999999999
Chr3D	310407222	314619116	Chr3D	318285234	322474217	27	0.999925925925926
Chr3D	324387385	492131921	Chr3D	333756522	499890595	1372	0.9990947521865889
Chr3D	494653889	615474754	Chr3D	502597720	623019681	1593	0.9980207156308852
