cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr4A	66144481	66802003	Chr4A	78331236	78941305	6	0.9876666666666667
Chr4A	273730258	282083530	Chr4A	297370498	305885064	14	0.9943571428571429
Chr4A	306317948	311641561	Chr4A	318215043	325802393	49	0.9914693877551021
Chr4A	320272231	327753355	Chr4A	244077743	251382624	14	0.990142857142857
Chr4A	82701	52611541	Chr4A	80021	51922943	562	0.9970302491103203
Chr4A	55378623	64573687	Chr4A	55662215	65129636	77	0.9945974025974026
Chr4A	66910517	77093626	Chr4A	68071368	78159546	83	0.9924698795180723
Chr4A	81276884	130504034	Chr4A	80461410	129304302	282	0.9964255319148937
Chr4A	132701921	192628546	Chr4A	131483811	191167548	260	0.998223076923077
Chr4A	195391805	220022826	Chr4A	193882689	217760501	40	0.9934
Chr4A	222107768	222562036	Chr4A	219862763	220295488	3	0.9983333333333334
Chr4A	225313869	227091476	Chr4A	222997406	224940993	4	0.9965
Chr4A	229493172	240021102	Chr4A	227024988	237846244	16	0.9950000000000001
Chr4A	242512092	242884659	Chr4A	240171878	240543645	3	0.9953333333333334
Chr4A	246655838	246679988	Chr4A	251671279	251695280	6	0.9936666666666666
Chr4A	248831802	263897149	Chr4A	253740642	268902233	21	0.9934285714285713
Chr4A	286750479	296904134	Chr4A	282922359	292813273	11	0.993181818181818
Chr4A	312689192	314684131	Chr4A	315388757	317270035	5	0.9876000000000001
Chr4A	338745706	342443342	Chr4A	333186017	336978911	6	0.9966666666666667
Chr4A	346686238	350244063	Chr4A	347733924	351140696	9	0.9933333333333333
Chr4A	352270324	353874280	Chr4A	342501668	345654456	4	0.99675
Chr4A	362089683	365639149	Chr4A	357729412	361204378	5	0.9958
Chr4A	374658394	387104269	Chr4A	365081513	381928882	14	0.9957142857142857
Chr4A	389242085	390892975	Chr4A	384145291	385759705	3	0.9976666666666668
Chr4A	395027325	398506001	Chr4A	389826260	393058036	6	0.9958333333333332
Chr4A	400757887	401303656	Chr4A	395345121	395874697	3	0.9903333333333334
Chr4A	407610912	420517232	Chr4A	402177848	414845121	17	0.9917647058823529
Chr4A	422761993	508494353	Chr4A	417061393	502170141	415	0.9978915662650603
Chr4A	510639254	641602625	Chr4A	504284374	633774093	1480	0.9978182432432432
Chr4A	661820537	671945390	Chr4A	648604692	658755829	116	0.999
Chr4A	686530004	744523018	Chr4A	668338387	722965530	562	0.9895516014234874
Chr4A	652854188	661624340	Chr4A	658950581	667677470	62	0.9989193548387096
Chr4A	669044550	669457227	Chr4A	693712624	694119039	9	0.9916666666666667
