cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr3A	43283	128718501	Chr3A	84022	140386274	1382	0.9981338639652676
Chr3A	130835529	181088605	Chr3A	142483035	192617089	217	0.9994608294930875
Chr3A	184214632	251342423	Chr3A	195730013	262488489	205	0.9996390243902439
Chr3A	259064196	267056348	Chr3A	270119278	278082184	12	0.9980000000000001
Chr3A	269215500	273159995	Chr3A	280242784	284151829	6	0.9993333333333334
Chr3A	275284207	283103162	Chr3A	286259884	294017195	7	0.9998571428571429
Chr3A	288539387	293589663	Chr3A	300049995	305076725	6	0.9994999999999999
Chr3A	295949198	314620161	Chr3A	307420999	325978123	24	0.9999166666666667
Chr3A	321109384	337881732	Chr3A	334154248	351443766	30	0.9994666666666667
Chr3A	340259729	343231466	Chr3A	353795697	356711195	7	0.9959999999999999
Chr3A	345871376	349014829	Chr3A	359356050	362477150	6	1.0
Chr3A	351126951	528599904	Chr3A	364568197	540594541	871	0.9988564867967853
Chr3A	533075051	545153837	Chr3A	540676622	553198750	77	0.9961038961038964
Chr3A	556260652	750618114	Chr3A	557446919	756699091	2109	0.9967254623044097
Chr3A	529615728	530496965	Chr3A	555123743	555995254	10	0.9997
Chr3A	531078912	532936182	Chr3A	552709667	554546816	25	0.99848
Chr3A	545257989	547981226	Chr3A	108685098	111367711	29	0.9994482758620691
Chr3A	549266231	555697701	Chr3A	112641287	119027695	47	0.9997446808510639
