gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS3D02G219600	Chr3D	299590798	299598189	+	299594493	Chr3D	324106515	324113906	-	324110210	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G219700	Chr3D	299599159	299603171	-	299601165	Chr3D	324101533	324105545	+	324103539	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G219800	Chr3D	299745268	299745435	+	299745351	Chr3D	323960214	323960381	-	323960297	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G219900	Chr3D	299906753	299911433	+	299909093	Chr3D	323795029	323799591	-	323797310	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220000	Chr3D	299925063	299926866	-	299925964	Chr3D	323779597	323781400	+	323780498	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220100	Chr3D	300500316	300503814	+	300502065	Chr3D	323206753	323210251	-	323208502	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220200	Chr3D	300569364	300572057	-	300570710	Chr3D	323138719	323141412	+	323140065	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220300	Chr3D	300681002	300681616	-	300681309	Chr3D	323030984	323031598	+	323031291	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220400	Chr3D	300771403	300778028	+	300774715	Chr3D	322934112	322940737	-	322937424	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220500	Chr3D	301221826	301224439	+	301223132	Chr3D	322488946	322491559	-	322490252	1.0	0.999	rearrangement:Chr3D_block2
gene:TraesCS3D02G220600	Chr3D	301346354	301346716	-	301346535	Chr3D	322366772	322367134	+	322366953	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G220700	Chr3D	301413149	301414692	+	301413920	Chr3D	322298792	322300335	-	322299563	1.0	1.0	rearrangement:Chr3D_block2
