cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr5A	29101	60528080	Chr5A	272150	62691039	552	0.9983351449275363
Chr5A	63377052	151734470	Chr5A	65512008	152989560	407	0.9991130221130221
Chr5A	155555039	159534199	Chr5A	156776346	160761798	12	1.0
Chr5A	161914114	180994113	Chr5A	163131038	182227091	37	0.9998648648648648
Chr5A	183430057	185651119	Chr5A	184650287	186849171	4	1.0
Chr5A	191038029	199222973	Chr5A	192183169	200288600	16	0.9999375
Chr5A	203479442	222599127	Chr5A	204508516	223637554	33	0.9997272727272727
Chr5A	224689467	248536470	Chr5A	225710049	252189729	62	0.9996935483870967
Chr5A	253597688	388640539	Chr5A	255701945	391984295	643	0.9995209953343701
Chr5A	394182240	398411465	Chr5A	396240343	400417189	52	0.9999615384615386
Chr5A	402540994	709675600	Chr5A	405758628	712042205	3461	0.9981129731291535
