gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS3A02G000200	Chr3A	41683	44884	-	43283	Chr3A	967747	970948	+	969347	1.0	0.999	collinear
gene:TraesCS3A02G000300	Chr3A	84561	87232	-	85896	Chr3A	927427	930098	+	928762	1.0	1.0	collinear
gene:TraesCS3A02G000400	Chr3A	95678	97870	-	96774	Chr3A	916786	918978	+	917882	1.0	1.0	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	882372	884662	+	883517	1.0	1.0	collinear
gene:TraesCS3A02G000600	Chr3A	177219	179017	-	178118	Chr3A	835353	837151	+	836252	1.0	1.0	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	806585	809871	+	808228	1.0	1.0	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	647057	650219	+	648638	1.0	0.982	collinear
gene:TraesCS3A02G000900	Chr3A	409621	416203	-	412912	Chr3A	634943	641450	+	638196	0.966	0.952	collinear
gene:TraesCS3A02G001100	Chr3A	430147	432865	+	431506	Chr3A	597027	599745	-	598386	1.0	0.998	collinear
gene:TraesCS3A02G001200	Chr3A	437746	441793	+	439769	Chr3A	588183	592228	-	590205	0.998	0.997	collinear
gene:TraesCS3A02G001300	Chr3A	912044	912421	-	912232	Chr3A	83834	84210	+	84022	0.997	0.992	collinear
gene:TraesCS3A02G001700	Chr3A	1304381	1309289	+	1306835	Chr3A	1386558	1391466	-	1389012	1.0	0.998	collinear
gene:TraesCS3A02G001800	Chr3A	1313066	1315898	-	1314482	Chr3A	1381763	1384560	+	1383161	0.997	0.974	collinear
gene:TraesCS3A02G001900	Chr3A	1325708	1326744	-	1326226	Chr3A	1372161	1373234	+	1372697	0.997	0.956	collinear
gene:TraesCS3A02G002000	Chr3A	1328508	1329908	-	1329208	Chr3A	1369045	1370394	+	1369719	0.95	0.932	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	1316089	1318665	-	1317377	1.0	0.993	collinear
gene:TraesCS3A02G002200	Chr3A	1389037	1389428	-	1389232	Chr3A	1310220	1310611	+	1310415	1.0	1.0	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	1305436	1307000	+	1306218	0.972	0.965	collinear
gene:TraesCS3A02G002400	Chr3A	1514278	1514782	+	1514530	Chr3A	1713853	1714357	+	1714105	1.0	1.0	collinear
gene:TraesCS3A02G002500	Chr3A	1519343	1519759	+	1519551	Chr3A	1718917	1719333	+	1719125	1.0	1.0	collinear
gene:TraesCS3A02G002600	Chr3A	1574631	1574990	+	1574810	Chr3A	1773342	1773701	+	1773521	1.0	1.0	collinear
gene:TraesCS3A02G002700	Chr3A	1593227	1593658	+	1593442	Chr3A	1791581	1792012	+	1791796	1.0	1.0	collinear
gene:TraesCS3A02G002800	Chr3A	1618081	1619002	+	1618541	Chr3A	1814768	1815689	+	1815228	1.0	1.0	collinear
gene:TraesCS3A02G002900	Chr3A	1707001	1709752	-	1708376	Chr3A	1897767	1900518	-	1899142	1.0	1.0	collinear
gene:TraesCS3A02G003000	Chr3A	1711784	1712270	-	1712027	Chr3A	1902550	1903036	-	1902793	1.0	1.0	collinear
gene:TraesCS3A02G003100	Chr3A	1769601	1770008	+	1769804	Chr3A	1959626	1960033	+	1959829	1.0	1.0	collinear
gene:TraesCS3A02G003200	Chr3A	1780395	1782252	+	1781323	Chr3A	1970161	1972018	+	1971089	1.0	1.0	collinear
gene:TraesCS3A02G003300	Chr3A	1789588	1790065	+	1789826	Chr3A	1979222	1979699	+	1979460	1.0	1.0	collinear
gene:TraesCS3A02G003400	Chr3A	1797375	1797977	+	1797676	Chr3A	1986515	1987117	+	1986816	1.0	1.0	collinear
gene:TraesCS3A02G003500	Chr3A	1885671	1886377	+	1886024	Chr3A	2072085	2072791	+	2072438	1.0	1.0	collinear
gene:TraesCS3A02G003600	Chr3A	1896509	1898746	-	1897627	Chr3A	2082599	2084836	-	2083717	1.0	1.0	collinear
gene:TraesCS3A02G003700	Chr3A	1903850	1904592	+	1904221	Chr3A	2089754	2090496	+	2090125	1.0	1.0	collinear
gene:TraesCS3A02G003800	Chr3A	1919555	1923009	+	1921282	Chr3A	2107574	2111028	+	2109301	1.0	1.0	collinear
gene:TraesCS3A02G003900	Chr3A	1924585	1928794	-	1926689	Chr3A	2112401	2116610	-	2114505	1.0	1.0	collinear
gene:TraesCS3A02G004000	Chr3A	2137062	2137657	+	2137359	Chr3A	2323269	2323864	+	2323566	1.0	1.0	collinear
gene:TraesCS3A02G004100	Chr3A	2418993	2419363	+	2419178	Chr3A	2603480	2603850	+	2603665	1.0	1.0	collinear
gene:TraesCS3A02G004200	Chr3A	2435784	2436154	+	2435969	Chr3A	2620311	2620681	+	2620496	1.0	1.0	collinear
gene:TraesCS3A02G004300	Chr3A	2604430	2605130	+	2604780	Chr3A	2786327	2787027	+	2786677	1.0	1.0	collinear
gene:TraesCS3A02G004400	Chr3A	2898506	2899124	+	2898815	Chr3A	3076097	3076715	+	3076406	1.0	1.0	collinear
gene:TraesCS3A02G004500	Chr3A	2915325	2915907	+	2915616	Chr3A	3092916	3093498	+	3093207	1.0	1.0	collinear
gene:TraesCS3A02G004600	Chr3A	3410856	3411551	+	3411203	Chr3A	3598303	3598998	+	3598650	1.0	1.0	collinear
