cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr1B	30395529	30881192	Chr1B	24851306	25390095	8	0.968
Chr1B	299656225	300335451	Chr1B	307184958	307887371	5	0.9832000000000001
Chr1B	712634	76138867	Chr1B	1214646	78652413	697	0.9952266857962697
Chr1B	80709308	85441230	Chr1B	83423462	87863787	17	0.9996470588235294
Chr1B	87732453	218433567	Chr1B	90160211	219465499	584	0.9988715753424657
Chr1B	220753045	223795187	Chr1B	220598904	225123299	6	0.9998333333333335
Chr1B	225799645	231641237	Chr1B	227106789	232894882	9	0.9986666666666666
Chr1B	234252905	243089038	Chr1B	235488780	245807234	14	0.9990714285714286
Chr1B	245942911	249515026	Chr1B	253215874	256784267	8	0.9982500000000001
Chr1B	265295754	269646441	Chr1B	267325418	272193712	22	0.9971363636363637
Chr1B	294946215	303677391	Chr1B	302414091	311191285	34	0.9960588235294116
Chr1B	307004229	317917199	Chr1B	311442144	325111758	38	0.9950263157894736
Chr1B	322108938	688999168	Chr1B	326074863	691232904	2802	0.9964946466809421
