cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr5B	18796	1750886	Chr5B	4637076	7134753	13	0.998923076923077
Chr5B	6219225	149330732	Chr5B	8202893	154899976	973	0.9965971223021582
Chr5B	152509380	167292122	Chr5B	158013084	171745300	23	1.0
Chr5B	169679679	194187169	Chr5B	175372264	198442894	33	0.9940606060606061
Chr5B	196237920	198419112	Chr5B	202888598	205033164	6	0.9991666666666666
Chr5B	201287121	236283952	Chr5B	210317191	246092416	124	0.9993467741935483
Chr5B	238316269	257532817	Chr5B	248120322	267126823	80	0.9996750000000001
Chr5B	259539413	341562322	Chr5B	269103535	350721590	502	0.9977191235059761
Chr5B	343826709	383208800	Chr5B	352929972	392042724	208	0.9983365384615385
Chr5B	386333053	412688052	Chr5B	392331774	418328212	204	0.9979264705882352
Chr5B	414828778	441811582	Chr5B	420026376	446897613	242	0.999318181818182
Chr5B	446816353	453879450	Chr5B	450655758	457518398	47	0.9929574468085107
Chr5B	457930256	700232848	Chr5B	461571099	702457894	2516	0.9959511128775835
Chr5B	704074687	712968923	Chr5B	703290251	712244865	161	0.9956211180124225
