cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr2A	254112	240818173	Chr2A	132543	238878757	2164	0.9984283733826246
Chr2A	249151448	252091236	Chr2A	247163079	250056305	6	0.9998333333333335
Chr2A	255910505	258353437	Chr2A	253842184	256271839	8	1.0
Chr2A	260548731	262579565	Chr2A	258450545	260464870	7	1.0
Chr2A	265274570	273294992	Chr2A	263139415	271130252	16	1.0
Chr2A	275352399	281746218	Chr2A	273166500	279508624	23	1.0
Chr2A	283944564	286439768	Chr2A	281688141	284171532	5	1.0
Chr2A	288988301	294768029	Chr2A	286699737	292431346	8	1.0
Chr2A	297253831	306682759	Chr2A	294909194	304238677	11	1.0
Chr2A	309689781	315039543	Chr2A	307188953	312620075	7	1.0
Chr2A	317947462	324619894	Chr2A	315498675	322128641	12	0.9999166666666667
Chr2A	329696283	333747658	Chr2A	329422720	333428071	8	1.0
Chr2A	340608829	341927845	Chr2A	340425746	342561699	3	1.0
Chr2A	349224718	353475914	Chr2A	348654611	352876159	10	1.0
Chr2A	364470917	366383663	Chr2A	361100992	362990438	5	1.0
Chr2A	369202998	395710262	Chr2A	369438579	395950212	92	0.9995869565217391
Chr2A	398464297	398971793	Chr2A	400386890	400889654	4	1.0
Chr2A	405468040	486499474	Chr2A	405596797	486171605	275	0.9992436363636364
Chr2A	488847564	547776466	Chr2A	488497101	547061268	319	0.9998746081504704
Chr2A	563768705	568310510	Chr2A	562914028	567427588	36	0.9985555555555555
Chr2A	582840575	761027623	Chr2A	582149919	758723005	1969	0.9973763331640426
Chr2A	767561186	771779121	Chr2A	767799291	771865674	77	0.9915844155844157
Chr2A	779809108	780777724	Chr2A	780475874	781433039	11	1.0
