cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr6D	46902857	49450861	Chr6D	58848652	61344778	31	0.9974516129032258
Chr6D	43783	28414621	Chr6D	213811	32968438	544	0.9974191176470588
Chr6D	31725191	46873994	Chr6D	35872457	53434344	160	0.999475
Chr6D	49849091	164765103	Chr6D	54097132	171150121	881	0.9992213393870601
Chr6D	166779487	169629333	Chr6D	173144507	175978670	14	0.9984285714285714
Chr6D	172126215	214550301	Chr6D	178443448	220638964	57	0.9984736842105263
Chr6D	216846232	227401287	Chr6D	222886000	233376175	14	1.0
Chr6D	232122220	239805311	Chr6D	238068740	245686757	12	0.992
Chr6D	242219199	280904417	Chr6D	248086509	287057118	145	0.9984413793103448
Chr6D	283156017	345395419	Chr6D	289295777	351138468	422	0.9997867298578198
Chr6D	348652621	353356176	Chr6D	353745108	358420902	38	0.9995526315789475
Chr6D	355857046	415028218	Chr6D	361556362	420240339	533	0.9991819887429645
Chr6D	417690848	473516145	Chr6D	422897912	478191881	949	0.9963793466807166
Chr6D	346099970	348279719	Chr6D	358793957	360966115	25	1.0
Chr6D	353635072	355242742	Chr6D	351870934	353470392	14	0.9930714285714286
