cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr4B	234405	83143343	Chr4B	378084	83348741	814	0.9966928746928747
Chr4B	85363222	144787815	Chr4B	85557677	144806908	361	0.999354570637119
Chr4B	148921759	152088859	Chr4B	149948140	153042859	11	0.999909090909091
Chr4B	158279534	161625531	Chr4B	158171502	161486938	6	1.0
Chr4B	163837175	203850975	Chr4B	163921852	203814611	181	0.9988839779005525
Chr4B	206794132	223387060	Chr4B	206709098	223131586	43	0.9986744186046511
Chr4B	226512235	230010047	Chr4B	226244785	229676717	4	1.0
Chr4B	234929847	256332590	Chr4B	234542385	255701556	23	0.9999130434782609
Chr4B	258773888	260054174	Chr4B	258140554	259426409	4	1.0
Chr4B	265283966	273980394	Chr4B	264607013	273151443	14	0.9995714285714286
Chr4B	275998809	282885258	Chr4B	275184338	282108940	10	0.9998000000000001
Chr4B	285555605	286747008	Chr4B	284781028	285968680	5	0.9994
Chr4B	291844033	291890141	Chr4B	290981737	291025906	4	1.0
Chr4B	295046802	296948857	Chr4B	294124981	296006234	3	1.0
Chr4B	299559143	302859664	Chr4B	298615612	301891676	5	1.0
Chr4B	305479702	316989666	Chr4B	303923045	315349781	32	0.99975
Chr4B	322661593	324977743	Chr4B	321405475	323713248	6	0.9990000000000001
Chr4B	327191689	330784063	Chr4B	325833729	329408774	8	0.9998750000000001
Chr4B	333372518	335941430	Chr4B	331962345	334499651	5	0.9985999999999999
Chr4B	338426211	349584812	Chr4B	336953350	348019527	17	0.9962352941176471
Chr4B	351612149	352152996	Chr4B	350024899	350562941	3	0.976
Chr4B	357909130	429353205	Chr4B	356281649	426941050	337	0.9990741839762611
Chr4B	431793129	673534850	Chr4B	429328732	669732399	1804	0.9967267184035477
