cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr3D	325803	116408326	Chr3D	2788	119324672	1453	0.9987192016517551
Chr3D	118542402	193596645	Chr3D	121430416	196067631	418	0.9989234449760768
Chr3D	196947044	200390459	Chr3D	199421430	202843894	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	205113988	205151923	4	1.0
Chr3D	206979095	213997235	Chr3D	209425849	216400437	11	0.9990909090909091
Chr3D	216425033	219568689	Chr3D	218816215	221910741	6	1.0
Chr3D	225525420	232470513	Chr3D	228028851	234934171	13	0.9944615384615384
Chr3D	234603090	244292283	Chr3D	237049907	245457220	12	1.0
Chr3D	246327705	257173258	Chr3D	246256752	258254215	28	0.9993571428571428
Chr3D	259434941	298593191	Chr3D	260036718	298956448	140	0.9982357142857143
Chr3D	309084975	313930346	Chr3D	309858345	314681532	34	0.9999705882352942
Chr3D	324387385	492131921	Chr3D	324788013	491178217	1377	0.9990174291938997
Chr3D	494653889	615474754	Chr3D	493837920	614023501	1613	0.9982622442653442
