gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	2397998	2399708	-	2398853	1.0	1.0	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	2408062	2410724	+	2409393	1.0	1.0	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	2432971	2448541	-	2440756	1.0	1.0	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	2451147	2452849	+	2451998	1.0	1.0	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	2479067	2479507	+	2479287	1.0	1.0	collinear
gene:TraesCS2B02G000600	Chr2B	303826	305394	-	304610	Chr2B	2371449	2373017	+	2372233	1.0	1.0	collinear
gene:TraesCS2B02G000700	Chr2B	317841	319502	-	318671	Chr2B	2357765	2359426	+	2358595	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	2244573	2245310	-	2244941	1.0	1.0	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	2224639	2230081	+	2227360	1.0	1.0	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	2205260	2207716	-	2206488	1.0	1.0	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	2199479	2201163	-	2200321	1.0	1.0	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	2046732	2047133	-	2046932	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	1870443	1870736	+	1870589	1.0	1.0	collinear
gene:TraesCS2B02G001400	Chr2B	1171680	1174401	+	1173040	Chr2B	8034247	8036968	+	8035607	1.0	1.0	collinear
gene:TraesCS2B02G001500	Chr2B	1181154	1181702	+	1181428	Chr2B	8043721	8044269	+	8043995	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	8111030	8114478	+	8112754	1.0	1.0	collinear
gene:TraesCS2B02G001800	Chr2B	1265344	1272505	+	1268924	Chr2B	8127043	8134204	+	8130623	1.0	0.999	collinear
gene:TraesCS2B02G001700	Chr2B	1265079	1308155	-	1286617	Chr2B	8126778	8169661	-	8148219	1.0	1.0	collinear
gene:TraesCS2B02G003900	Chr2B	2107170	2108718	+	2107944	Chr2B	9766136	9767741	-	9766938	1.0	0.992	collinear
gene:TraesCS2B02G004000	Chr2B	2109410	2113388	-	2111399	Chr2B	9761458	9765444	+	9763451	1.0	0.997	collinear
gene:TraesCS2B02G004200	Chr2B	2235456	2238338	+	2236897	Chr2B	9601849	9604754	-	9603301	0.999	0.986	collinear
gene:TraesCS2B02G004300	Chr2B	2335787	2336388	+	2336087	Chr2B	9524172	9524771	-	9524471	1.0	0.997	collinear
gene:TraesCS2B02G004500	Chr2B	2404235	2407537	-	2405886	Chr2B	9418692	9421994	+	9420343	1.0	0.999	collinear
gene:TraesCS2B02G004800	Chr2B	2566039	2566626	-	2566332	Chr2B	9268702	9269295	+	9268998	1.0	0.962	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	8594687	8599215	-	8596951	0.996	0.958	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	8579828	8586369	+	8583098	1.0	0.993	collinear
gene:TraesCS2B02G005200	Chr2B	3307435	3312813	-	3310124	Chr2B	8574017	8579395	+	8576706	1.0	0.999	collinear
gene:TraesCS2B02G005300	Chr2B	3397884	3406507	+	3402195	Chr2B	8480382	8489019	-	8484700	1.0	1.0	collinear
gene:TraesCS2B02G005400	Chr2B	3407138	3410526	-	3408832	Chr2B	8476363	8479751	+	8478057	1.0	0.999	collinear
gene:TraesCS2B02G005500	Chr2B	3659755	3661311	-	3660533	Chr2B	8227424	8228980	+	8228202	1.0	0.999	collinear
gene:TraesCS2B02G005600	Chr2B	3684728	3687040	+	3685884	Chr2B	8169730	8172033	-	8170881	0.996	0.995	collinear
gene:TraesCS2B02G005700	Chr2B	3687109	3687952	+	3687530	Chr2B	8196098	8196941	-	8196519	1.0	0.998	collinear
gene:TraesCS2B02G005800	Chr2B	3772263	3773975	-	3773119	Chr2B	11092730	11094442	-	11093586	1.0	1.0	collinear
gene:TraesCS2B02G005900	Chr2B	3787544	3790240	+	3788892	Chr2B	11107250	11109946	+	11108598	1.0	1.0	collinear
gene:TraesCS2B02G006000	Chr2B	3794600	3795885	-	3795242	Chr2B	11114422	11115707	-	11115064	1.0	1.0	collinear
gene:TraesCS2B02G006100	Chr2B	3839122	3840611	+	3839866	Chr2B	11163256	11164745	+	11164000	1.0	0.999	collinear
gene:TraesCS2B02G006200	Chr2B	3907016	3908244	+	3907630	Chr2B	11230227	11231455	+	11230841	1.0	1.0	collinear
gene:TraesCS2B02G006300	Chr2B	4013566	4015994	+	4014780	Chr2B	11337340	11339768	+	11338554	1.0	1.0	collinear
gene:TraesCS2B02G006400	Chr2B	4117000	4118048	-	4117524	Chr2B	11438501	11439549	-	11439025	1.0	0.998	collinear
gene:TraesCS2B02G006500	Chr2B	4131445	4133057	+	4132251	Chr2B	11452946	11454558	+	11453752	1.0	1.0	collinear
gene:TraesCS2B02G006600	Chr2B	4185133	4187548	+	4186340	Chr2B	11506463	11508878	+	11507670	1.0	0.999	collinear
gene:TraesCS2B02G006700	Chr2B	4283146	4285475	+	4284310	Chr2B	11683875	11686206	+	11685040	1.0	0.997	collinear
gene:TraesCS2B02G006800	Chr2B	4424392	4426747	+	4425569	Chr2B	11732035	11734390	+	11733212	1.0	1.0	collinear
gene:TraesCS2B02G006900	Chr2B	4471513	4472626	-	4472069	Chr2B	11779038	11780151	-	11779594	1.0	1.0	collinear
gene:TraesCS2B02G007000	Chr2B	4481802	4483613	+	4482707	Chr2B	11789327	11791138	+	11790232	1.0	1.0	collinear
gene:TraesCS2B02G007100	Chr2B	4493174	4494883	+	4494028	Chr2B	11800733	11802442	+	11801587	1.0	1.0	collinear
gene:TraesCS2B02G007200	Chr2B	4502931	4515467	+	4509199	Chr2B	11810490	11822910	+	11816700	1.0	1.0	collinear
gene:TraesCS2B02G007300	Chr2B	4622069	4625035	+	4623552	Chr2B	11930050	11932824	+	11931437	1.0	0.997	collinear
gene:TraesCS2B02G007400	Chr2B	4633720	4638108	+	4635914	Chr2B	12013221	12017616	-	12015418	1.0	0.995	collinear
gene:TraesCS2B02G007500	Chr2B	4642754	4643683	+	4643218	Chr2B	12007647	12008576	-	12008111	1.0	0.993	collinear
gene:TraesCS2B02G007600	Chr2B	4644215	4645528	+	4644871	Chr2B	12005802	12007115	-	12006458	1.0	0.996	collinear
gene:TraesCS2B02G007700	Chr2B	4646554	4654607	-	4650580	Chr2B	12030494	12038339	-	12034416	0.998	0.98	collinear
gene:TraesCS2B02G007800	Chr2B	4656499	4665524	+	4661011	Chr2B	12039835	12049576	+	12044705	0.949	0.914	collinear
gene:TraesCS2B02G007900	Chr2B	4714253	4715607	+	4714930	Chr2B	12069724	12071060	+	12070392	0.998	0.978	collinear
gene:TraesCS2B02G008300	Chr2B	4751819	4754293	-	4753056	Chr2B	12110481	12112958	-	12111719	1.0	0.995	collinear
gene:TraesCS2B02G008400	Chr2B	4766161	4771417	-	4768789	Chr2B	12124392	12129646	-	12127019	0.999	0.998	collinear
gene:TraesCS2B02G008500	Chr2B	4789969	4794540	-	4792254	Chr2B	12148053	12152606	-	12150329	0.98	0.977	collinear
gene:TraesCS2B02G008600	Chr2B	4846099	4846416	+	4846257	Chr2B	12211174	12211491	+	12211332	1.0	0.987	collinear
gene:TraesCS2B02G008900	Chr2B	4984078	4990934	+	4987506	Chr2B	7845621	7852928	-	7849274	0.986	0.962	collinear
gene:TraesCS2B02G009000	Chr2B	5010495	5010806	-	5010650	Chr2B	7796573	7796884	+	7796728	1.0	1.0	collinear
gene:TraesCS2B02G009100	Chr2B	5041095	5042778	-	5041936	Chr2B	7764499	7766182	+	7765340	1.0	1.0	collinear
gene:TraesCS2B02G009200	Chr2B	5118894	5119436	-	5119165	Chr2B	7688566	7689108	+	7688837	1.0	1.0	collinear
gene:TraesCS2B02G009300	Chr2B	5370563	5373122	-	5371842	Chr2B	7425032	7427591	+	7426311	1.0	0.998	collinear
gene:TraesCS2B02G009500	Chr2B	5479231	5483853	+	5481542	Chr2B	7315503	7320125	-	7317814	1.0	0.999	collinear
gene:TraesCS2B02G009600	Chr2B	5579123	5580448	+	5579785	Chr2B	7220589	7221914	-	7221251	1.0	1.0	collinear
gene:TraesCS2B02G009700	Chr2B	5592643	5593403	-	5593023	Chr2B	7207634	7208394	+	7208014	1.0	1.0	collinear
gene:TraesCS2B02G009800	Chr2B	5596473	5596973	-	5596723	Chr2B	7204064	7204564	+	7204314	1.0	1.0	collinear
gene:TraesCS2B02G009900	Chr2B	5603620	5604192	+	5603906	Chr2B	7196840	7197412	-	7197126	1.0	1.0	collinear
