gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS5A02G000300	Chr5A	28171	30032	-	29101	Chr5A	888994	890855	+	889924	1.0	0.999	collinear
gene:TraesCS5A02G000500	Chr5A	306572	306895	-	306733	Chr5A	617053	617376	+	617214	1.0	1.0	collinear
gene:TraesCS5A02G000600	Chr5A	638578	644527	+	641552	Chr5A	281720	287669	-	284694	1.0	0.999	collinear
gene:TraesCS5A02G000700	Chr5A	644719	646234	+	645476	Chr5A	280017	281528	-	280772	0.997	0.997	collinear
gene:TraesCS5A02G000800	Chr5A	653903	654847	+	654375	Chr5A	271678	272622	-	272150	1.0	1.0	collinear
gene:TraesCS5A02G000900	Chr5A	692543	694327	+	693435	Chr5A	1488270	1490054	+	1489162	1.0	1.0	collinear
gene:TraesCS5A02G001000	Chr5A	835966	836319	+	836142	Chr5A	1630273	1630626	+	1630449	1.0	1.0	collinear
gene:TraesCS5A02G001100	Chr5A	855353	858565	-	856959	Chr5A	1649533	1652745	-	1651139	1.0	1.0	collinear
gene:TraesCS5A02G001200	Chr5A	1114075	1114440	-	1114257	Chr5A	1900651	1901016	-	1900833	1.0	1.0	collinear
gene:TraesCS5A02G001300	Chr5A	1200615	1201335	-	1200975	Chr5A	1986377	1987097	-	1986737	1.0	1.0	collinear
gene:TraesCS5A02G001400	Chr5A	1202119	1202601	+	1202360	Chr5A	1987881	1988363	+	1988122	1.0	1.0	collinear
gene:TraesCS5A02G001500	Chr5A	1218671	1227119	+	1222895	Chr5A	2004257	2012705	+	2008481	1.0	1.0	collinear
gene:TraesCS5A02G001600	Chr5A	1228104	1231038	+	1229571	Chr5A	2013690	2016624	+	2015157	1.0	1.0	collinear
gene:TraesCS5A02G001700	Chr5A	1241766	1242112	+	1241939	Chr5A	2027354	2027700	+	2027527	1.0	1.0	collinear
gene:TraesCS5A02G001800	Chr5A	1302643	1302822	+	1302732	Chr5A	2147342	2147521	+	2147431	1.0	1.0	collinear
gene:TraesCS5A02G001900	Chr5A	1346522	1347511	-	1347016	Chr5A	2192137	2193126	-	2192631	1.0	1.0	collinear
gene:TraesCS5A02G002100	Chr5A	1833619	1834815	-	1834217	Chr5A	2666666	2667862	-	2667264	1.0	1.0	collinear
gene:TraesCS5A02G002200	Chr5A	1947285	1952551	-	1949918	Chr5A	2778331	2783242	-	2780786	1.0	1.0	collinear
gene:TraesCS5A02G002400	Chr5A	2081880	2086130	-	2084005	Chr5A	2913321	2917570	-	2915445	1.0	1.0	collinear
gene:TraesCS5A02G002500	Chr5A	2103640	2107862	+	2105751	Chr5A	2934575	2938797	+	2936686	1.0	1.0	collinear
gene:TraesCS5A02G002600	Chr5A	2108869	2113862	+	2111365	Chr5A	2939804	2944797	+	2942300	1.0	1.0	collinear
gene:TraesCS5A02G002700	Chr5A	2120701	2126503	-	2123602	Chr5A	2951635	2957437	-	2954536	1.0	1.0	collinear
gene:TraesCS5A02G002800	Chr5A	2174649	2177688	-	2176168	Chr5A	3003935	3006974	-	3005454	1.0	1.0	collinear
gene:TraesCS5A02G002900	Chr5A	2397627	2399194	-	2398410	Chr5A	3224784	3226351	-	3225567	1.0	0.999	collinear
gene:TraesCS5A02G003000	Chr5A	2403142	2404068	+	2403605	Chr5A	3230299	3231225	+	3230762	1.0	1.0	collinear
gene:TraesCS5A02G003200	Chr5A	2408790	2412563	-	2410676	Chr5A	3241369	3245155	-	3243262	0.99	0.972	collinear
gene:TraesCS5A02G003300	Chr5A	2414730	2415224	+	2414977	Chr5A	3247124	3247618	+	3247371	1.0	0.997	collinear
gene:TraesCS5A02G003400	Chr5A	2421362	2423669	+	2422515	Chr5A	3251048	3253351	+	3252199	1.0	0.998	collinear
gene:TraesCS5A02G003500	Chr5A	2426488	2428137	-	2427312	Chr5A	3256159	3257795	-	3256977	0.992	0.986	collinear
gene:TraesCS5A02G003700	Chr5A	2615782	2617551	-	2616666	Chr5A	3296207	3297974	-	3297090	0.998	0.988	collinear
gene:TraesCS5A02G003800	Chr5A	2645238	2650209	-	2647723	Chr5A	3323885	3328856	-	3326370	1.0	1.0	collinear
gene:TraesCS5A02G003900	Chr5A	2727177	2728795	+	2727986	Chr5A	3405479	3407097	+	3406288	1.0	1.0	collinear
gene:TraesCS5A02G004000	Chr5A	2865722	2870015	+	2867868	Chr5A	3542262	3546555	+	3544408	1.0	1.0	collinear
gene:TraesCS5A02G004100	Chr5A	2870634	2874348	-	2872491	Chr5A	3547174	3550763	-	3548968	0.995	0.995	collinear
gene:TraesCS5A02G004200	Chr5A	2893332	2899721	-	2896526	Chr5A	3569541	3575930	-	3572735	1.0	1.0	collinear
gene:TraesCS5A02G004400	Chr5A	3085412	3088853	+	3087132	Chr5A	3695875	3699322	+	3697598	1.0	0.997	collinear
gene:TraesCS5A02G004500	Chr5A	3166841	3174284	+	3170562	Chr5A	3775306	3782746	+	3779026	1.0	1.0	collinear
gene:TraesCS5A02G004600	Chr5A	3175334	3177753	+	3176543	Chr5A	3783798	3786213	+	3785005	1.0	1.0	collinear
gene:TraesCS5A02G004700	Chr5A	3194780	3197691	-	3196235	Chr5A	3803341	3806250	-	3804795	1.0	1.0	collinear
gene:TraesCS5A02G004800	Chr5A	3215100	3218868	-	3216984	Chr5A	3822477	3826245	-	3824361	1.0	1.0	collinear
gene:TraesCS5A02G004900	Chr5A	3281861	3294536	+	3288198	Chr5A	3886813	3899488	+	3893150	1.0	1.0	collinear
gene:TraesCS5A02G005000	Chr5A	3312172	3315225	+	3313698	Chr5A	3917122	3920175	+	3918648	1.0	1.0	collinear
gene:TraesCS5A02G005100	Chr5A	3360527	3361507	-	3361017	Chr5A	3964094	3965074	-	3964584	1.0	0.998	collinear
gene:TraesCS5A02G005300	Chr5A	3370704	3374577	-	3372640	Chr5A	3974271	3978209	-	3976240	1.0	0.971	collinear
gene:TraesCS5A02G005400	Chr5A	3385013	3385779	+	3385396	Chr5A	3988645	3989411	+	3989028	1.0	1.0	collinear
gene:TraesCS5A02G005500	Chr5A	3390922	3406014	+	3398468	Chr5A	3994554	4009538	+	4002046	1.0	1.0	collinear
gene:TraesCS5A02G005600	Chr5A	3410396	3414243	-	3412319	Chr5A	4028691	4032559	-	4030625	1.0	0.993	collinear
gene:TraesCS5A02G005700	Chr5A	3421438	3424404	-	3422921	Chr5A	4041465	4044431	-	4042948	1.0	1.0	collinear
gene:TraesCS5A02G005800	Chr5A	3431398	3432399	-	3431898	Chr5A	4051425	4052426	-	4051925	1.0	1.0	collinear
gene:TraesCS5A02G005900	Chr5A	3435395	3445904	+	3440649	Chr5A	4055462	4065971	+	4060716	1.0	1.0	collinear
gene:TraesCS5A02G006000	Chr5A	3504754	3516416	+	3510585	Chr5A	4124124	4135786	+	4129955	1.0	1.0	collinear
gene:TraesCS5A02G006100	Chr5A	3518743	3522158	+	3520450	Chr5A	4138113	4141528	+	4139820	1.0	1.0	collinear
gene:TraesCS5A02G006200	Chr5A	3524460	3528789	+	3526624	Chr5A	4143577	4147906	+	4145741	1.0	1.0	collinear
gene:TraesCS5A02G006300	Chr5A	3555694	3559104	+	3557399	Chr5A	4174815	4178225	+	4176520	1.0	1.0	collinear
