cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	169132308	183070778	77	0.999948051948052
Chr7B	171985598	278933515	Chr7B	185568431	293144785	416	0.9993990384615384
Chr7B	281386105	307364806	Chr7B	295582888	321770729	42	0.9996190476190476
Chr7B	310413787	337641571	Chr7B	158364599	340645404	99	0.999919191919192
Chr7B	34838	154814815	Chr7B	34602	157786263	1244	0.9995546623794214
Chr7B	337929275	340640628	Chr7B	341444503	344172727	8	1.0
Chr7B	342994491	389109218	Chr7B	346526837	393308791	153	0.9998496732026146
Chr7B	391956637	405970176	Chr7B	396179589	410599513	52	0.9996153846153845
Chr7B	408568404	419042240	Chr7B	413179671	423778078	45	0.9997777777777777
Chr7B	421064524	541167218	Chr7B	425791676	545780843	781	0.9993841229193342
Chr7B	543188151	734772755	Chr7B	547795684	746921310	1681	0.9996835217132659
Chr7B	742464632	742590334	Chr7B	754817393	754942551	4	1.0
Chr7B	746971117	750609249	Chr7B	755530509	759512617	65	0.9999846153846154
Chr7B	684933677	685275084	Chr7B	706569851	706911258	8	1.0
Chr7B	743112054	746739646	Chr7B	759742528	763873968	67	0.9988208955223882
