gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS3D02G000100	Chr3D	325619	325987	-	325803	Chr3D	3578221	3578589	+	3578405	1.0	1.0	collinear
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	3575256	3575879	-	3575567	1.0	1.0	collinear
gene:TraesCS3D02G000300	Chr3D	334518	335729	+	335123	Chr3D	3568479	3569690	-	3569084	1.0	1.0	collinear
gene:TraesCS3D02G000400	Chr3D	356416	357339	-	356877	Chr3D	3546869	3547792	+	3547330	1.0	1.0	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	3512636	3514159	+	3513397	1.0	1.0	collinear
gene:TraesCS3D02G000600	Chr3D	476642	477785	-	477213	Chr3D	3414637	3415780	+	3415208	1.0	1.0	collinear
gene:TraesCS3D02G000700	Chr3D	478316	479781	-	479048	Chr3D	3412818	3414283	+	3413550	1.0	1.0	collinear
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	3396088	3398473	-	3397280	1.0	1.0	collinear
gene:TraesCS3D02G000900	Chr3D	507597	508251	-	507924	Chr3D	3384909	3385563	+	3385236	1.0	1.0	collinear
gene:TraesCS3D02G001000	Chr3D	640906	641478	+	641192	Chr3D	3252630	3253202	-	3252916	1.0	1.0	collinear
gene:TraesCS3D02G001100	Chr3D	641506	643820	+	642663	Chr3D	3250288	3252602	-	3251445	1.0	1.0	collinear
gene:TraesCS3D02G001200	Chr3D	686714	687105	-	686909	Chr3D	3207400	3207791	+	3207595	1.0	1.0	collinear
gene:TraesCS3D02G001300	Chr3D	692296	698366	-	695331	Chr3D	3196139	3202209	+	3199174	1.0	1.0	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	3185368	3186843	-	3186105	1.0	1.0	collinear
gene:TraesCS3D02G001500	Chr3D	770364	773698	+	772031	Chr3D	3121211	3124545	-	3122878	1.0	1.0	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	3116522	3120868	+	3118695	1.0	1.0	collinear
gene:TraesCS3D02G001700	Chr3D	843836	846634	-	845235	Chr3D	3048907	3051705	+	3050306	1.0	1.0	collinear
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	3040446	3042139	-	3041292	1.0	1.0	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	3024974	3029545	+	3027259	1.0	1.0	collinear
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	2965361	2969762	+	2967561	1.0	1.0	collinear
gene:TraesCS3D02G002100	Chr3D	950970	952775	+	951872	Chr3D	2943292	2945097	-	2944194	1.0	1.0	collinear
gene:TraesCS3D02G002200	Chr3D	1016389	1018081	-	1017235	Chr3D	2878039	2879731	+	2878885	1.0	1.0	collinear
gene:TraesCS3D02G002300	Chr3D	1109698	1110822	+	1110260	Chr3D	2786027	2787151	-	2786589	1.0	1.0	collinear
gene:TraesCS3D02G002400	Chr3D	1112780	1122933	+	1117856	Chr3D	2774139	2784069	-	2779104	1.0	1.0	collinear
gene:TraesCS3D02G002500	Chr3D	1138991	1145797	-	1142394	Chr3D	2751289	2758095	+	2754692	1.0	1.0	collinear
gene:TraesCS3D02G002600	Chr3D	1195709	1196983	-	1196346	Chr3D	2700272	2701546	+	2700909	1.0	1.0	collinear
gene:TraesCS3D02G002700	Chr3D	1252991	1257142	-	1255066	Chr3D	2641623	2645541	+	2643582	1.0	1.0	collinear
gene:TraesCS3D02G002800	Chr3D	1263500	1272210	+	1267855	Chr3D	2626555	2635265	-	2630910	1.0	1.0	collinear
gene:TraesCS3D02G002900	Chr3D	1279421	1281425	+	1280423	Chr3D	2617340	2619344	-	2618342	1.0	1.0	collinear
gene:TraesCS3D02G003000	Chr3D	1296966	1297936	-	1297451	Chr3D	2600829	2601799	+	2601314	1.0	1.0	collinear
gene:TraesCS3D02G003100	Chr3D	1314751	1316071	-	1315411	Chr3D	2583351	2584671	+	2584011	1.0	1.0	collinear
gene:TraesCS3D02G003200	Chr3D	1337527	1339579	+	1338553	Chr3D	2560435	2562487	-	2561461	1.0	1.0	collinear
