gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS4B02G000100	Chr4B	1	459	+	230	Chr4B	1	459	+	230	1.0	1.0	collinear
gene:TraesCS4B02G000200	Chr4B	230189	233429	+	231809	Chr4B	228946	232186	+	230566	1.0	1.0	collinear
gene:TraesCS4B02G000300	Chr4B	233604	235207	-	234405	Chr4B	232361	233964	-	233162	1.0	1.0	collinear
gene:TraesCS4B02G000400	Chr4B	235554	237151	-	236352	Chr4B	234311	235908	-	235109	1.0	1.0	collinear
gene:TraesCS4B02G000500	Chr4B	536859	540040	-	538449	Chr4B	1405651	1408832	+	1407241	1.0	1.0	collinear
gene:TraesCS4B02G000600	Chr4B	556850	559568	-	558209	Chr4B	1386123	1388841	+	1387482	1.0	1.0	collinear
gene:TraesCS4B02G000700	Chr4B	593305	593700	+	593502	Chr4B	1351991	1352386	-	1352188	1.0	1.0	collinear
gene:TraesCS4B02G000800	Chr4B	606792	608698	-	607745	Chr4B	1336993	1338899	+	1337946	1.0	1.0	collinear
gene:TraesCS4B02G000900	Chr4B	621192	623232	-	622212	Chr4B	1322700	1324740	+	1323720	1.0	1.0	collinear
gene:TraesCS4B02G001000	Chr4B	639894	640937	-	640415	Chr4B	1304995	1306038	+	1305516	1.0	1.0	collinear
gene:TraesCS4B02G001100	Chr4B	652667	654439	-	653553	Chr4B	1291719	1293491	+	1292605	1.0	1.0	collinear
gene:TraesCS4B02G001200	Chr4B	804929	806039	-	805484	Chr4B	1144783	1145893	+	1145338	1.0	1.0	collinear
gene:TraesCS4B02G001300	Chr4B	807708	809435	+	808571	Chr4B	1141387	1143114	-	1142250	1.0	1.0	collinear
gene:TraesCS4B02G001400	Chr4B	811058	811978	-	811518	Chr4B	1138844	1139764	+	1139304	1.0	1.0	collinear
gene:TraesCS4B02G001500	Chr4B	824217	826230	-	825223	Chr4B	1124957	1126970	+	1125963	1.0	1.0	collinear
gene:TraesCS4B02G001600	Chr4B	1046619	1049898	-	1048258	Chr4B	902508	905787	+	904147	1.0	1.0	collinear
gene:TraesCS4B02G001700	Chr4B	1055642	1057009	+	1056325	Chr4B	895341	896708	-	896024	1.0	1.0	collinear
gene:TraesCS4B02G001800	Chr4B	1055540	1057158	-	1056349	Chr4B	895192	896810	+	896001	1.0	1.0	collinear
gene:TraesCS4B02G001900	Chr4B	1080301	1080693	-	1080497	Chr4B	871710	872102	+	871906	1.0	0.997	collinear
gene:TraesCS4B02G002000	Chr4B	1101906	1102898	+	1102402	Chr4B	849504	850496	-	850000	1.0	1.0	collinear
gene:TraesCS4B02G002100	Chr4B	1135933	1136559	+	1136246	Chr4B	816760	817386	-	817073	1.0	1.0	collinear
gene:TraesCS4B02G002200	Chr4B	1198805	1199422	-	1199113	Chr4B	754576	755193	+	754884	1.0	1.0	collinear
gene:TraesCS4B02G002300	Chr4B	1243148	1246366	-	1244757	Chr4B	707693	710911	+	709302	1.0	1.0	collinear
gene:TraesCS4B02G002400	Chr4B	1257749	1263057	+	1260403	Chr4B	691894	697186	-	694540	1.0	1.0	collinear
gene:TraesCS4B02G002500	Chr4B	1264008	1265225	-	1264616	Chr4B	689726	690943	+	690334	1.0	1.0	collinear
gene:TraesCS4B02G002600	Chr4B	1316142	1320257	+	1318199	Chr4B	635301	639416	-	637358	1.0	1.0	collinear
gene:TraesCS4B02G002700	Chr4B	1321134	1325121	-	1323127	Chr4B	630437	634424	+	632430	1.0	1.0	collinear
gene:TraesCS4B02G002800	Chr4B	1696842	1698167	+	1697504	Chr4B	1685750	1687075	+	1686412	1.0	1.0	collinear
gene:TraesCS4B02G002900	Chr4B	1768549	1772568	+	1770558	Chr4B	1757457	1761476	+	1759466	1.0	1.0	collinear
gene:TraesCS4B02G003000	Chr4B	1774015	1778545	+	1776280	Chr4B	1762923	1767453	+	1765188	1.0	1.0	collinear
