gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS1D02G000100	Chr1D	72507	77965	-	75236	Chr1D	3190753	3196211	+	3193482	1.0	1.0	collinear
gene:TraesCS1D02G000200	Chr1D	84681	85607	+	85144	Chr1D	3183111	3184037	-	3183574	1.0	1.0	collinear
gene:TraesCS1D02G000300	Chr1D	99355	100422	+	99888	Chr1D	3168296	3169363	-	3168829	1.0	1.0	collinear
gene:TraesCS1D02G000400	Chr1D	111463	112058	-	111760	Chr1D	3156660	3157255	+	3156957	1.0	1.0	collinear
gene:TraesCS1D02G000500	Chr1D	121980	122198	-	122089	Chr1D	3146520	3146738	+	3146629	1.0	1.0	collinear
gene:TraesCS1D02G000524	Chr1D	133936	134199	+	134067	Chr1D	3134519	3134782	-	3134650	1.0	1.0	collinear
gene:TraesCS1D02G000600	Chr1D	208450	208668	-	208559	Chr1D	3060050	3060268	+	3060159	1.0	1.0	collinear
gene:TraesCS1D02G000700	Chr1D	209608	210213	-	209910	Chr1D	3058505	3059110	+	3058807	1.0	1.0	collinear
gene:TraesCS1D02G000900	Chr1D	216924	217245	+	217084	Chr1D	3051473	3051794	-	3051633	1.0	1.0	collinear
gene:TraesCS1D02G000800	Chr1D	216466	219484	-	217975	Chr1D	3049234	3052252	+	3050743	1.0	1.0	collinear
gene:TraesCS1D02G000906	Chr1D	232648	233202	-	232925	Chr1D	3035516	3036070	+	3035793	1.0	1.0	collinear
gene:TraesCS1D02G001000	Chr1D	250463	251359	-	250911	Chr1D	3017359	3018255	+	3017807	1.0	1.0	collinear
gene:TraesCS1D02G001100	Chr1D	259657	260544	-	260100	Chr1D	3008174	3009061	+	3008617	1.0	1.0	collinear
gene:TraesCS1D02G001200	Chr1D	321910	322893	-	322401	Chr1D	2945825	2946808	+	2946316	1.0	1.0	collinear
gene:TraesCS1D02G001300	Chr1D	339837	340811	-	340324	Chr1D	2927907	2928881	+	2928394	1.0	1.0	collinear
