gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	2882010	2883720	-	2882865	1.0	1.0	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	2892074	2894736	+	2893405	1.0	1.0	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	2916973	2932515	-	2924744	0.996	0.996	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	2935121	2936823	+	2935972	1.0	1.0	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	2962930	2963370	+	2963150	1.0	1.0	collinear
gene:TraesCS2B02G000600	Chr2B	303826	305394	-	304610	Chr2B	2843172	2844740	+	2843956	1.0	1.0	collinear
gene:TraesCS2B02G000700	Chr2B	317841	319502	-	318671	Chr2B	2829446	2831107	+	2830276	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	2717986	2718723	-	2718354	1.0	1.0	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	2698016	2703512	+	2700764	1.0	1.0	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	2678638	2681094	-	2679866	1.0	1.0	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	2672857	2674541	-	2673699	1.0	1.0	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	2520260	2520661	-	2520460	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	2344071	2344364	+	2344217	1.0	1.0	collinear
gene:TraesCS2B02G001400	Chr2B	1171680	1174401	+	1173040	Chr2B	9153032	9155753	+	9154392	0.999	0.967	collinear
gene:TraesCS2B02G001500	Chr2B	1181154	1181702	+	1181428	Chr2B	9162506	9163054	+	9162780	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	9231046	9234494	+	9232770	1.0	1.0	collinear
gene:TraesCS2B02G001800	Chr2B	1265344	1272505	+	1268924	Chr2B	9247068	9254229	+	9250648	1.0	1.0	collinear
