cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr5B	18796	149330732	Chr5B	18593	150623157	1048	0.9996564885496182
Chr5B	152509380	167292122	Chr5B	153027140	169148558	26	0.9999615384615386
Chr5B	169679679	194187169	Chr5B	171520075	195927921	37	0.9972972972972972
Chr5B	196237920	198419112	Chr5B	199556820	201713194	7	1.0
Chr5B	201287121	236283952	Chr5B	203011992	239465934	124	0.9996048387096775
Chr5B	238316269	257532817	Chr5B	241488361	260689020	80	0.9999625
Chr5B	259539413	341562322	Chr5B	262666205	344742710	507	0.9996804733727811
Chr5B	343826709	692695841	Chr5B	346985936	694027439	3360	0.9997098214285715
Chr5B	695550616	700236718	Chr5B	698066477	702788146	73	1.0
Chr5B	704074687	713015937	Chr5B	705622799	714671459	179	0.9999217877094971
Chr5B	693004530	695492076	Chr5B	702846504	705342790	30	1.0
Chr5B	700333219	703858476	Chr5B	694349338	697835876	64	0.999
