gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	16033	21153	+	18593	1.0	1.0	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	85900	87414	-	86657	1.0	1.0	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	208601	214218	+	211409	1.0	1.0	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	214767	217901	-	216334	1.0	1.0	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	227704	231809	+	229756	1.0	1.0	collinear
gene:TraesCS5B02G000700	Chr5B	461918	462852	-	462385	Chr5B	1405738	1406672	+	1406205	1.0	1.0	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	1209448	1212378	+	1210913	1.0	1.0	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	1110422	1112273	-	1111347	1.0	1.0	collinear
gene:TraesCS5B02G001000	Chr5B	762630	764982	-	763806	Chr5B	1104112	1106464	+	1105288	1.0	1.0	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	1005121	1009642	+	1007381	1.0	1.0	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	606261	606584	-	606422	1.0	1.0	collinear
gene:TraesCS5B02G001400	Chr5B	1741674	1747002	-	1744338	Chr5B	1420063	1425391	-	1422727	1.0	1.0	collinear
gene:TraesCS5B02G001500	Chr5B	1748923	1752849	+	1750886	Chr5B	1427312	1431238	+	1429275	1.0	1.0	collinear
gene:TraesCS5B02G001600	Chr5B	2558977	2563902	-	2561439	Chr5B	3614607	3619532	+	3617069	1.0	1.0	collinear
gene:TraesCS5B02G001700	Chr5B	2570828	2574624	-	2572726	Chr5B	3603885	3607681	+	3605783	1.0	1.0	collinear
gene:TraesCS5B02G001800	Chr5B	2581312	2585281	+	2583296	Chr5B	3593228	3597197	-	3595212	1.0	1.0	collinear
gene:TraesCS5B02G001900	Chr5B	2612913	2614391	-	2613652	Chr5B	3564118	3565596	+	3564857	1.0	1.0	collinear
gene:TraesCS5B02G002000	Chr5B	2805491	2806938	+	2806214	Chr5B	3371571	3373018	-	3372294	1.0	1.0	collinear
gene:TraesCS5B02G002100	Chr5B	2883487	2884992	+	2884239	Chr5B	3293517	3295022	-	3294269	1.0	1.0	collinear
gene:TraesCS5B02G002200	Chr5B	3449225	3449773	-	3449499	Chr5B	2728736	2729284	+	2729010	1.0	1.0	collinear
gene:TraesCS5B02G002300	Chr5B	3474782	3475968	+	3475375	Chr5B	2702541	2703727	-	2703134	1.0	1.0	collinear
gene:TraesCS5B02G002400	Chr5B	3849532	3862578	-	3856055	Chr5B	2316821	2328979	+	2322900	1.0	1.0	collinear
gene:TraesCS5B02G002500	Chr5B	3867064	3867802	-	3867433	Chr5B	2311597	2312335	+	2311966	1.0	1.0	collinear
gene:TraesCS5B02G002600	Chr5B	3917424	3923351	-	3920387	Chr5B	2256442	2262369	+	2259405	1.0	1.0	collinear
gene:TraesCS5B02G002700	Chr5B	4059784	4060323	-	4060053	Chr5B	2119731	2120270	+	2120000	1.0	1.0	collinear
gene:TraesCS5B02G002800	Chr5B	4061095	4061457	+	4061276	Chr5B	2118597	2118959	-	2118778	1.0	1.0	collinear
gene:TraesCS5B02G002900	Chr5B	4546069	4552406	-	4549237	Chr5B	4221282	4227412	-	4224347	1.0	1.0	collinear
gene:TraesCS5B02G003000	Chr5B	4594584	4597569	-	4596076	Chr5B	4269528	4272513	-	4271020	1.0	1.0	collinear
gene:TraesCS5B02G003100	Chr5B	4831068	4833559	+	4832313	Chr5B	4505697	4508188	+	4506942	1.0	1.0	collinear
gene:TraesCS5B02G003200	Chr5B	4867071	4871723	-	4869397	Chr5B	4542237	4546889	-	4544563	1.0	1.0	collinear
gene:TraesCS5B02G003300	Chr5B	5045123	5051057	+	5048090	Chr5B	4719192	4725126	+	4722159	1.0	1.0	collinear
gene:TraesCS5B02G003400	Chr5B	5052970	5056002	-	5054486	Chr5B	4727039	4730071	-	4728555	1.0	1.0	collinear
gene:TraesCS5B02G003500	Chr5B	5057454	5057948	+	5057701	Chr5B	4731523	4732017	+	4731770	1.0	1.0	collinear
gene:TraesCS5B02G003600	Chr5B	5062881	5065255	+	5064068	Chr5B	4736950	4739324	+	4738137	1.0	1.0	collinear
gene:TraesCS5B02G003700	Chr5B	5071378	5072952	-	5072165	Chr5B	4745447	4747021	-	4746234	1.0	1.0	collinear
gene:TraesCS5B02G003900	Chr5B	5417279	5421527	+	5419403	Chr5B	5090409	5094657	+	5092533	1.0	1.0	collinear
gene:TraesCS5B02G004000	Chr5B	5919690	5920013	-	5919851	Chr5B	5592217	5592540	-	5592378	1.0	1.0	collinear
gene:TraesCS5B02G004200	Chr5B	6217631	6220820	-	6219225	Chr5B	6274906	6278095	-	6276500	1.0	1.0	collinear
gene:TraesCS5B02G004300	Chr5B	6364821	6368699	-	6366760	Chr5B	6421687	6425565	-	6423626	1.0	1.0	collinear
gene:TraesCS5B02G004400	Chr5B	6393220	6407926	+	6400573	Chr5B	6450124	6464864	+	6457494	0.998	0.998	collinear
gene:TraesCS5B02G004500	Chr5B	6418315	6422013	-	6420164	Chr5B	6475062	6478760	-	6476911	1.0	1.0	collinear
gene:TraesCS5B02G004600	Chr5B	6467080	6476016	+	6471548	Chr5B	6523497	6531811	+	6527654	1.0	1.0	collinear
gene:TraesCS5B02G004700	Chr5B	6501236	6502261	+	6501748	Chr5B	6557311	6558336	+	6557823	1.0	1.0	collinear
gene:TraesCS5B02G004800	Chr5B	6570469	6587252	+	6578860	Chr5B	6627478	6644259	+	6635868	1.0	1.0	collinear
gene:TraesCS5B02G004900	Chr5B	6622837	6626116	+	6624476	Chr5B	6679420	6682699	+	6681059	1.0	1.0	collinear
gene:TraesCS5B02G005000	Chr5B	6645267	6648830	+	6647048	Chr5B	6701850	6705413	+	6703631	1.0	1.0	collinear
gene:TraesCS5B02G005100	Chr5B	6650056	6654556	+	6652306	Chr5B	6706639	6711139	+	6708889	1.0	1.0	collinear
gene:TraesCS5B02G005200	Chr5B	6659370	6677496	+	6668433	Chr5B	6715953	6734079	+	6725016	1.0	1.0	collinear
gene:TraesCS5B02G005300	Chr5B	6834483	6837707	-	6836095	Chr5B	6891065	6894289	-	6892677	1.0	1.0	collinear
gene:TraesCS5B02G005400	Chr5B	6918180	6927740	-	6922960	Chr5B	6974763	6984323	-	6979543	1.0	1.0	collinear
gene:TraesCS5B02G005500	Chr5B	6968208	6970169	+	6969188	Chr5B	7024791	7026752	+	7025771	1.0	1.0	collinear
gene:TraesCS5B02G005600	Chr5B	6965525	6975517	+	6970521	Chr5B	7022108	7032100	+	7027104	1.0	1.0	collinear
gene:TraesCS5B02G005700	Chr5B	7021141	7026614	-	7023877	Chr5B	7077724	7083197	-	7080460	1.0	1.0	collinear
gene:TraesCS5B02G005755	Chr5B	7068359	7071536	-	7069947	Chr5B	7124941	7128118	-	7126529	1.0	1.0	collinear
gene:TraesCS5B02G005800	Chr5B	7119761	7120042	-	7119901	Chr5B	7175983	7176264	-	7176123	1.0	1.0	collinear
gene:TraesCS5B02G005900	Chr5B	7148738	7149225	-	7148981	Chr5B	7204960	7205447	-	7205203	1.0	1.0	collinear
gene:TraesCS5B02G006000	Chr5B	7184206	7184957	-	7184581	Chr5B	7240428	7241179	-	7240803	1.0	1.0	collinear
gene:TraesCS5B02G006100	Chr5B	7304012	7304699	-	7304355	Chr5B	7359600	7360287	-	7359943	1.0	1.0	collinear
