cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr6B	2305759	3520084	Chr6B	5123	1221383	16	0.99975
Chr6B	5030111	5837735	Chr6B	2815546	3921649	15	1.0
Chr6B	345468265	347767954	Chr6B	359789280	362079304	13	1.0
Chr6B	114487	103962989	Chr6B	1270960	109698670	1119	0.999746201966041
Chr6B	106468710	109142658	Chr6B	112200748	114854793	7	0.9998571428571429
Chr6B	111685641	240401733	Chr6B	117445277	246426312	819	0.9995482295482296
Chr6B	243269422	252842611	Chr6B	249274084	259111612	30	0.9998666666666668
Chr6B	255004953	262472341	Chr6B	261263057	268713242	32	0.99990625
Chr6B	264839998	264978909	Chr6B	271066163	271204143	6	1.0
Chr6B	267065797	267505591	Chr6B	273275668	273714013	3	1.0
Chr6B	269689585	282983990	Chr6B	275888096	289129738	45	0.9997555555555558
Chr6B	286712737	302596217	Chr6B	292829101	308701890	53	0.999188679245283
Chr6B	304894478	321293096	Chr6B	310986731	327439454	35	0.9997714285714286
Chr6B	333518318	339367085	Chr6B	340390557	346252642	11	1.0
Chr6B	341712366	343111521	Chr6B	348550830	349949438	5	0.9987999999999999
Chr6B	348093864	352413972	Chr6B	355173887	359464055	12	1.0
Chr6B	360416955	382771932	Chr6B	367054723	389291257	32	0.9968125
Chr6B	387119500	426829844	Chr6B	393616244	435164669	95	0.9989368421052631
Chr6B	429264238	441049080	Chr6B	437584110	449326149	53	0.9998301886792452
Chr6B	444540716	620708761	Chr6B	452819490	629148387	1037	0.999648987463838
Chr6B	622726250	626889431	Chr6B	631157333	635284956	37	1.0
Chr6B	630465748	720953306	Chr6B	638657051	731065543	1107	0.9996106594399277
