cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr4B	230	83143343	Chr4B	230	86155240	830	0.9995807228915663
Chr4B	85363222	152088859	Chr4B	88370406	155154630	391	0.9997749360613811
Chr4B	154112314	161625531	Chr4B	157172475	164642854	12	1.0
Chr4B	163837175	203850975	Chr4B	167236891	207224234	181	0.9995911602209944
Chr4B	209106813	223387060	Chr4B	212453315	226695727	38	0.9986842105263158
Chr4B	226512235	230010047	Chr4B	229815313	233299063	4	0.9995
Chr4B	234929847	243643991	Chr4B	236068374	244739403	11	1.0
Chr4B	246317224	256332590	Chr4B	245945502	255905796	10	0.9999
Chr4B	258773888	260054174	Chr4B	258340474	259633738	4	1.0
Chr4B	265283966	273980394	Chr4B	264840064	273673527	14	1.0
Chr4B	275998809	282885258	Chr4B	275687277	282555008	10	1.0
Chr4B	285555605	286747008	Chr4B	285233326	286424153	5	1.0
Chr4B	291844033	291890141	Chr4B	291502685	291547670	4	1.0
Chr4B	295046802	296948857	Chr4B	294688008	296591676	3	1.0
Chr4B	299559143	317762138	Chr4B	299196258	317325008	39	0.9998205128205127
Chr4B	322661593	324977743	Chr4B	322209821	324516341	6	0.9986666666666667
Chr4B	327191689	330784063	Chr4B	326650034	330229225	8	0.9998750000000001
Chr4B	333372518	335941430	Chr4B	332805993	335355652	5	1.0
Chr4B	338426211	352152996	Chr4B	337825898	351612341	21	0.9985714285714286
Chr4B	357909130	429353205	Chr4B	357330117	428374125	342	0.9997485380116958
Chr4B	431793129	673534850	Chr4B	430804721	673727606	1908	0.9996346960167716
