gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS7A02G000100	Chr7A	238043	241215	+	239629	Chr7A	237447	240619	+	239033	1.0	1.0	collinear
gene:TraesCS7A02G000200	Chr7A	242359	246258	-	244308	Chr7A	241763	245662	-	243712	1.0	1.0	collinear
gene:TraesCS7A02G000300	Chr7A	250565	253987	+	252276	Chr7A	249969	253391	+	251680	1.0	1.0	collinear
gene:TraesCS7A02G000400	Chr7A	289316	290626	+	289971	Chr7A	287782	289092	+	288437	1.0	1.0	collinear
gene:TraesCS7A02G000600	Chr7A	331413	332217	+	331815	Chr7A	329150	329954	+	329552	1.0	1.0	collinear
gene:TraesCS7A02G000700	Chr7A	342962	346248	-	344605	Chr7A	339975	343261	-	341618	1.0	1.0	collinear
gene:TraesCS7A02G000800	Chr7A	463692	465671	-	464681	Chr7A	458993	460972	-	459982	1.0	1.0	collinear
gene:TraesCS7A02G000900	Chr7A	631804	635718	+	633761	Chr7A	625626	629540	+	627583	1.0	1.0	collinear
gene:TraesCS7A02G000936	Chr7A	643174	655611	-	649392	Chr7A	636996	649433	-	643214	1.0	1.0	collinear
gene:TraesCS7A02G001000	Chr7A	665160	680522	-	672841	Chr7A	658982	671984	-	665483	1.0	1.0	collinear
gene:TraesCS7A02G001100	Chr7A	760723	764116	-	762419	Chr7A	751650	755043	-	753346	1.0	1.0	collinear
gene:TraesCS7A02G001121	Chr7A	785611	786054	-	785832	Chr7A	776562	777005	-	776783	1.0	1.0	collinear
gene:TraesCS7A02G001200	Chr7A	976470	983181	+	979825	Chr7A	965060	971771	+	968415	1.0	1.0	collinear
gene:TraesCS7A02G001300	Chr7A	1128397	1129068	+	1128732	Chr7A	1116397	1117068	+	1116732	1.0	1.0	collinear
gene:TraesCS7A02G001400	Chr7A	1180399	1182394	+	1181396	Chr7A	1168399	1170394	+	1169396	1.0	1.0	collinear
gene:TraesCS7A02G001500	Chr7A	1273203	1274422	+	1273812	Chr7A	1288480	1289699	+	1289089	1.0	1.0	collinear
gene:TraesCS7A02G001600	Chr7A	1277396	1277831	-	1277613	Chr7A	1292673	1293108	-	1292890	1.0	1.0	collinear
gene:TraesCS7A02G001700	Chr7A	1280349	1295461	-	1287905	Chr7A	1295626	1310738	-	1303182	1.0	1.0	collinear
gene:TraesCS7A02G001800	Chr7A	1316001	1316821	-	1316411	Chr7A	1331278	1332098	-	1331688	1.0	1.0	collinear
gene:TraesCS7A02G001900	Chr7A	1320275	1322055	-	1321165	Chr7A	1335552	1337332	-	1336442	1.0	1.0	collinear
gene:TraesCS7A02G002000	Chr7A	1370689	1376752	+	1373720	Chr7A	1385966	1392029	+	1388997	1.0	1.0	collinear
gene:TraesCS7A02G002100	Chr7A	1404698	1409905	+	1407301	Chr7A	1419975	1425182	+	1422578	1.0	1.0	collinear
gene:TraesCS7A02G002300	Chr7A	1416905	1421077	+	1418991	Chr7A	1432182	1436354	+	1434268	1.0	1.0	collinear
gene:TraesCS7A02G002358	Chr7A	1439365	1440141	+	1439753	Chr7A	1454642	1455418	+	1455030	1.0	1.0	collinear
gene:TraesCS7A02G002400	Chr7A	1459383	1462064	+	1460723	Chr7A	1474660	1477341	+	1476000	1.0	1.0	collinear
gene:TraesCS7A02G002500	Chr7A	1496490	1507739	-	1502114	Chr7A	1511767	1523016	-	1517391	1.0	1.0	collinear
gene:TraesCS7A02G002600	Chr7A	1521562	1524436	+	1522999	Chr7A	1536839	1539713	+	1538276	1.0	1.0	collinear
gene:TraesCS7A02G002700	Chr7A	1690697	1692368	+	1691532	Chr7A	1705137	1706808	+	1705972	1.0	1.0	collinear
gene:TraesCS7A02G002800	Chr7A	1695250	1700497	+	1697873	Chr7A	1709690	1715064	+	1712377	1.0	1.0	collinear
gene:TraesCS7A02G002900	Chr7A	1702072	1711505	-	1706788	Chr7A	1716639	1726072	-	1721355	1.0	1.0	collinear
gene:TraesCS7A02G003000	Chr7A	1712778	1718449	+	1715613	Chr7A	1727345	1733016	+	1730180	1.0	1.0	collinear
gene:TraesCS7A02G003100	Chr7A	1718979	1724204	-	1721591	Chr7A	1733546	1738771	-	1736158	1.0	1.0	collinear
gene:TraesCS7A02G003200	Chr7A	1742688	1748575	-	1745631	Chr7A	1757255	1763142	-	1760198	1.0	1.0	collinear
gene:TraesCS7A02G003300	Chr7A	1780541	1782994	-	1781767	Chr7A	1885434	1887887	-	1886660	1.0	1.0	collinear
gene:TraesCS7A02G003400	Chr7A	1800398	1803331	-	1801864	Chr7A	1944441	1947374	-	1945907	1.0	0.999	collinear
gene:TraesCS7A02G003500	Chr7A	1841972	1847563	-	1844767	Chr7A	1984711	1990302	-	1987506	1.0	1.0	collinear
gene:TraesCS7A02G003600	Chr7A	1848902	1852313	-	1850607	Chr7A	1991641	1995052	-	1993346	1.0	1.0	collinear
gene:TraesCS7A02G003700	Chr7A	1856666	1859059	+	1857862	Chr7A	1999166	2001559	+	2000362	1.0	1.0	collinear
gene:TraesCS7A02G003800	Chr7A	1859674	1863710	-	1861692	Chr7A	2002174	2006210	-	2004192	1.0	1.0	collinear
gene:TraesCS7A02G003900	Chr7A	1921361	1926772	+	1924066	Chr7A	2059191	2064602	+	2061896	1.0	1.0	collinear
gene:TraesCS7A02G004000	Chr7A	1982279	1991986	+	1987132	Chr7A	2119023	2128730	+	2123876	1.0	1.0	collinear
gene:TraesCS7A02G004100	Chr7A	1992593	2002774	-	1997683	Chr7A	2129337	2139216	-	2134276	1.0	1.0	collinear
gene:TraesCS7A02G004193	Chr7A	2077916	2079264	+	2078590	Chr7A	2212604	2213952	+	2213278	1.0	1.0	collinear
gene:TraesCS7A02G004200	Chr7A	2092701	2096765	+	2094733	Chr7A	2226887	2230792	+	2228839	0.999	0.981	collinear
gene:TraesCS7A02G004300	Chr7A	2114215	2118840	-	2116527	Chr7A	2248242	2252867	-	2250554	1.0	1.0	collinear
gene:TraesCS7A02G004400	Chr7A	2551358	2554208	-	2552783	Chr7A	2684032	2686882	-	2685457	1.0	1.0	collinear
gene:TraesCS7A02G004500	Chr7A	2570532	2581371	+	2575951	Chr7A	2703204	2713801	+	2708502	1.0	1.0	collinear
gene:TraesCS7A02G004700	Chr7A	2604148	2604504	+	2604326	Chr7A	2735543	2735899	+	2735721	1.0	1.0	collinear
gene:TraesCS7A02G004600	Chr7A	2603594	2605592	-	2604593	Chr7A	2734989	2736987	-	2735988	1.0	1.0	collinear
gene:TraesCS7A02G004800	Chr7A	2607043	2608815	-	2607929	Chr7A	2738438	2740210	-	2739324	1.0	1.0	collinear
gene:TraesCS7A02G004900	Chr7A	2673772	2678182	+	2675977	Chr7A	2805162	2809572	+	2807367	1.0	1.0	collinear
gene:TraesCS7A02G005000	Chr7A	2681858	2688535	-	2685196	Chr7A	2813248	2819925	-	2816586	1.0	1.0	collinear
gene:TraesCS7A02G005100	Chr7A	2693834	2700660	-	2697247	Chr7A	2825033	2831859	-	2828446	1.0	1.0	collinear
gene:TraesCS7A02G005200	Chr7A	2714588	2719413	+	2717000	Chr7A	2845787	2850612	+	2848199	1.0	1.0	collinear
gene:TraesCS7A02G005300	Chr7A	2742421	2747119	+	2744770	Chr7A	2873620	2878318	+	2875969	1.0	1.0	collinear
gene:TraesCS7A02G005400	Chr7A	2763151	2766547	+	2764849	Chr7A	2894350	2897746	+	2896048	1.0	1.0	collinear
gene:TraesCS7A02G005500	Chr7A	2773425	2774873	+	2774149	Chr7A	2904302	2905750	+	2905026	1.0	1.0	collinear
gene:TraesCS7A02G005600	Chr7A	2798509	2805965	-	2802237	Chr7A	2929298	2936550	-	2932924	1.0	1.0	collinear
gene:TraesCS7A02G005632	Chr7A	2810372	2811720	+	2811046	Chr7A	2940653	2942001	+	2941327	1.0	1.0	collinear
gene:TraesCS7A02G005700	Chr7A	2826625	2830659	+	2828642	Chr7A	2956906	2960802	+	2958854	0.982	0.982	collinear
gene:TraesCS7A02G005800	Chr7A	2848455	2851235	-	2849845	Chr7A	2978598	2981378	-	2979988	1.0	1.0	collinear
gene:TraesCS7A02G005900	Chr7A	2858951	2863772	+	2861361	Chr7A	2988793	2993614	+	2991203	1.0	1.0	collinear
gene:TraesCS7A02G006000	Chr7A	2868936	2871636	+	2870286	Chr7A	2998778	3001478	+	3000128	1.0	1.0	collinear
gene:TraesCS7A02G006100	Chr7A	2939734	2940930	+	2940332	Chr7A	3067984	3069180	+	3068582	1.0	1.0	collinear
gene:TraesCS7A02G006200	Chr7A	2999763	3005170	-	3002466	Chr7A	3126732	3132139	-	3129435	1.0	1.0	collinear
gene:TraesCS7A02G006300	Chr7A	3007780	3011557	+	3009668	Chr7A	3134749	3138526	+	3136637	1.0	1.0	collinear
gene:TraesCS7A02G006400	Chr7A	3138238	3141576	+	3139907	Chr7A	3264706	3268044	+	3266375	1.0	1.0	collinear
gene:TraesCS7A02G006500	Chr7A	3151917	3156052	-	3153984	Chr7A	3278385	3282520	-	3280452	1.0	1.0	collinear
gene:TraesCS7A02G006600	Chr7A	3204072	3209269	-	3206670	Chr7A	3329954	3335151	-	3332552	1.0	1.0	collinear
gene:TraesCS7A02G006800	Chr7A	3268204	3269253	+	3268728	Chr7A	3393323	3394372	+	3393847	1.0	1.0	collinear
gene:TraesCS7A02G006900	Chr7A	3273279	3295150	+	3284214	Chr7A	3398397	3420268	+	3409332	1.0	1.0	collinear
gene:TraesCS7A02G007200	Chr7A	3311242	3314974	+	3313108	Chr7A	3435923	3439655	+	3437789	1.0	1.0	collinear
gene:TraesCS7A02G007300	Chr7A	3322584	3324647	-	3323615	Chr7A	3446965	3449028	-	3447996	1.0	1.0	collinear
gene:TraesCS7A02G007400	Chr7A	3379058	3383784	+	3381421	Chr7A	3502667	3507393	+	3505030	1.0	1.0	collinear
gene:TraesCS7A02G007500	Chr7A	3411625	3416122	+	3413873	Chr7A	3535034	3539531	+	3537282	1.0	1.0	collinear
gene:TraesCS7A02G007600	Chr7A	3423395	3432800	-	3428097	Chr7A	3546804	3556209	-	3551506	1.0	1.0	collinear
gene:TraesCS7A02G007800	Chr7A	3542397	3543917	-	3543157	Chr7A	3663911	3665431	-	3664671	1.0	1.0	collinear
gene:TraesCS7A02G007882	Chr7A	3570736	3573905	-	3572320	Chr7A	3692034	3695203	-	3693618	1.0	1.0	collinear
gene:TraesCS7A02G007900	Chr7A	3580873	3585505	+	3583189	Chr7A	3702171	3706803	+	3704487	1.0	1.0	collinear
gene:TraesCS7A02G008100	Chr7A	3627362	3634829	-	3631095	Chr7A	3748234	3755701	-	3751967	1.0	1.0	collinear
gene:TraesCS7A02G008300	Chr7A	3779199	3783131	+	3781165	Chr7A	3898594	3902526	+	3900560	1.0	1.0	collinear
gene:TraesCS7A02G008400	Chr7A	3803493	3807856	-	3805674	Chr7A	3922888	3926902	-	3924895	0.947	0.947	collinear
gene:TraesCS7A02G008500	Chr7A	3839735	3844561	-	3842148	Chr7A	3958659	3963485	-	3961072	1.0	1.0	collinear
gene:TraesCS7A02G008600	Chr7A	3845648	3850869	-	3848258	Chr7A	3964572	3969793	-	3967182	1.0	1.0	collinear
gene:TraesCS7A02G008700	Chr7A	3851015	3853082	+	3852048	Chr7A	3969939	3972006	+	3970972	1.0	1.0	collinear
gene:TraesCS7A02G008800	Chr7A	3858931	3862202	-	3860566	Chr7A	3977724	3980995	-	3979359	1.0	1.0	collinear
gene:TraesCS7A02G008900	Chr7A	3906483	3911596	-	3909039	Chr7A	4025082	4030195	-	4027638	1.0	1.0	collinear
gene:TraesCS7A02G009000	Chr7A	3977784	3978104	+	3977944	Chr7A	4096204	4096524	+	4096364	1.0	1.0	collinear
gene:TraesCS7A02G009100	Chr7A	3982822	3986635	-	3984728	Chr7A	4100967	4104780	-	4102873	1.0	1.0	collinear
gene:TraesCS7A02G009200	Chr7A	4014507	4017160	-	4015833	Chr7A	4132285	4134938	-	4133611	1.0	1.0	collinear
gene:TraesCS7A02G009300	Chr7A	4020726	4021894	+	4021310	Chr7A	4138504	4139672	+	4139088	1.0	1.0	collinear
gene:TraesCS7A02G009400	Chr7A	4067455	4072522	-	4069988	Chr7A	4184804	4189871	-	4187337	1.0	1.0	collinear
gene:TraesCS7A02G009500	Chr7A	4206019	4209108	-	4207563	Chr7A	4325829	4328918	-	4327373	1.0	1.0	collinear
gene:TraesCS7A02G009600	Chr7A	4251676	4255084	-	4253380	Chr7A	4371114	4374524	-	4372819	1.0	1.0	collinear
gene:TraesCS7A02G009700	Chr7A	4327689	4330356	-	4329022	Chr7A	4446713	4449380	-	4448046	1.0	1.0	collinear
gene:TraesCS7A02G009800	Chr7A	4429532	4435570	-	4432551	Chr7A	4547141	4551050	-	4549095	0.978	0.978	collinear
gene:TraesCS7A02G009900	Chr7A	4472189	4483221	-	4477705	Chr7A	4588855	4598556	-	4593705	0.984	0.984	collinear
gene:TraesCS7A02G010000	Chr7A	4528469	4531271	-	4529870	Chr7A	4644533	4647335	-	4645934	1.0	1.0	collinear
gene:TraesCS7A02G010100	Chr7A	4555704	4559858	-	4557781	Chr7A	4671373	4675527	-	4673450	1.0	1.0	collinear
gene:TraesCS7A02G010200	Chr7A	4625252	4629547	+	4627399	Chr7A	4740206	4744501	+	4742353	1.0	1.0	collinear
gene:TraesCS7A02G010300	Chr7A	4685333	4687935	-	4686634	Chr7A	4800287	4802889	-	4801588	1.0	1.0	collinear
gene:TraesCS7A02G010400	Chr7A	4742410	4745345	+	4743877	Chr7A	4856737	4859672	+	4858204	1.0	1.0	collinear
gene:TraesCS7A02G010500	Chr7A	4749535	4752784	-	4751159	Chr7A	4864229	4867081	-	4865655	0.901	0.901	collinear
gene:TraesCS7A02G010600	Chr7A	4763894	4767227	+	4765560	Chr7A	4878340	4881673	+	4880006	1.0	1.0	collinear
gene:TraesCS7A02G010700	Chr7A	4802969	4807380	+	4805174	Chr7A	4916433	4920844	+	4918638	1.0	1.0	collinear
gene:TraesCS7A02G010800	Chr7A	4891028	4897792	+	4894410	Chr7A	5009654	5015968	+	5012811	0.927	0.927	collinear
gene:TraesCS7A02G010900	Chr7A	4898068	4899812	-	4898940	Chr7A	5016478	5018222	-	5017350	1.0	1.0	collinear
gene:TraesCS7A02G011000	Chr7A	4948178	4948750	+	4948464	Chr7A	5066588	5067160	+	5066874	1.0	1.0	collinear
gene:TraesCS7A02G011100	Chr7A	4960838	4961156	+	4960997	Chr7A	5079248	5079566	+	5079407	1.0	1.0	collinear
gene:TraesCS7A02G011200	Chr7A	4962338	4963060	+	4962699	Chr7A	5080748	5081470	+	5081109	1.0	1.0	collinear
gene:TraesCS7A02G011300	Chr7A	4973224	4975213	-	4974218	Chr7A	5091133	5093122	-	5092127	1.0	1.0	collinear
gene:TraesCS7A02G011400	Chr7A	4999477	5002554	+	5001015	Chr7A	5117447	5120524	+	5118985	1.0	1.0	collinear
gene:TraesCS7A02G011500	Chr7A	5014853	5015776	+	5015314	Chr7A	5132823	5133746	+	5133284	1.0	1.0	collinear
gene:TraesCS7A02G011600	Chr7A	5022731	5024573	+	5023652	Chr7A	5140701	5142543	+	5141622	1.0	1.0	collinear
gene:TraesCS7A02G011700	Chr7A	5077671	5086399	-	5082035	Chr7A	5195512	5204240	-	5199876	1.0	1.0	collinear
gene:TraesCS7A02G011800	Chr7A	5151100	5153543	+	5152321	Chr7A	5268412	5270855	+	5269633	1.0	1.0	collinear
gene:TraesCS7A02G011900	Chr7A	5180089	5184384	-	5182236	Chr7A	5296945	5301240	-	5299092	1.0	1.0	collinear
gene:TraesCS7A02G012000	Chr7A	5199401	5202155	+	5200778	Chr7A	5316257	5319011	+	5317634	1.0	1.0	collinear
gene:TraesCS7A02G012100	Chr7A	5351283	5354030	-	5352656	Chr7A	5496403	5499150	-	5497776	1.0	1.0	collinear
gene:TraesCS7A02G012200	Chr7A	5361951	5364742	+	5363346	Chr7A	5507071	5509862	+	5508466	1.0	1.0	collinear
gene:TraesCS7A02G012300	Chr7A	5365931	5367761	-	5366846	Chr7A	5511051	5512881	-	5511966	1.0	1.0	collinear
