cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr4A	82701	130504034	Chr4A	81328	130332624	1060	0.9995113207547172
Chr4A	132701921	192628546	Chr4A	132517055	192330869	262	0.9998053435114505
Chr4A	195313531	220022826	Chr4A	194997349	219652885	45	0.9977333333333332
Chr4A	222107768	222562036	Chr4A	221731546	222175913	3	1.0
Chr4A	225313869	227091476	Chr4A	224910983	226677182	4	1.0
Chr4A	229493172	242884659	Chr4A	229114346	242431315	21	0.999952380952381
Chr4A	331630535	334268011	Chr4A	330781060	333487928	3	1.0
Chr4A	338745706	353874280	Chr4A	337968373	353020297	28	1.0
Chr4A	356554191	359638234	Chr4A	355676988	358739297	6	0.9998333333333332
Chr4A	362089683	365639149	Chr4A	361169426	364704441	5	1.0
Chr4A	373805571	387104269	Chr4A	372956249	386206032	15	1.0
Chr4A	389242085	390892975	Chr4A	388345576	389986218	3	1.0
Chr4A	395027325	398506001	Chr4A	394095303	397542408	6	1.0
Chr4A	400757887	401303656	Chr4A	399782828	400323386	3	1.0
Chr4A	405572202	420517232	Chr4A	404566207	419576751	19	0.9998947368421053
Chr4A	422761993	508494353	Chr4A	421807811	507495678	418	0.9994425837320574
Chr4A	510639254	744537908	Chr4A	509609425	754177262	2781	0.9996019417475728
