cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr5A	389056643	392580240	Chr5A	398904383	402418799	26	0.9991923076923077
Chr5A	397757855	402162710	Chr5A	389369644	393748609	37	0.9990810810810811
Chr5A	429656560	430640620	Chr5A	424730121	425709321	14	1.0
Chr5A	14293	60528080	Chr5A	14293	62409843	567	0.9995590828924162
Chr5A	63377052	151734470	Chr5A	65256920	152899436	405	0.9995432098765433
Chr5A	155555039	159534199	Chr5A	156754150	160718182	13	1.0
Chr5A	161914114	170848678	Chr5A	163084098	171972235	23	0.9999565217391305
Chr5A	173117926	180994113	Chr5A	174235485	182449906	13	0.9996153846153846
Chr5A	183430057	185651119	Chr5A	184871905	187078746	4	1.0
Chr5A	191038029	199222973	Chr5A	192446609	200581324	16	1.0
Chr5A	203479442	222599127	Chr5A	204816399	224020772	33	0.9997878787878789
Chr5A	224689467	248536470	Chr5A	226098410	251028605	61	0.9998196721311476
Chr5A	253597688	388640539	Chr5A	254547841	388822412	644	0.999689440993789
Chr5A	393253490	397525225	Chr5A	393980484	398232191	45	1.0
Chr5A	402540994	429513678	Chr5A	402685543	430332419	148	0.9998513513513514
Chr5A	431744154	709675600	Chr5A	431918117	713137043	3336	0.9995713429256594
