cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	410644	141272747	1426	0.9994544179523142
Chr4D	143579930	155648423	Chr4D	143939177	155952697	16	0.9996875000000001
Chr4D	163412513	183387226	Chr4D	163710731	183649096	26	0.9998461538461539
Chr4D	188710899	192736636	Chr4D	188969484	192971731	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	195239705	198785582	7	1.0
Chr4D	201443437	212157624	Chr4D	201663396	212424003	27	0.9986296296296296
Chr4D	214312396	228145178	Chr4D	214566503	228344901	23	0.9986086956521739
Chr4D	230482531	238626311	Chr4D	230503918	238850566	11	0.999909090909091
Chr4D	240933419	248933627	Chr4D	241150325	249170093	18	1.0
Chr4D	251524682	256552996	Chr4D	251744642	256746015	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	259082246	261473317	6	1.0
Chr4D	263946972	268074619	Chr4D	264155329	268258812	7	1.0
Chr4D	270654719	329311457	Chr4D	270831155	329466878	243	0.9993292181069958
Chr4D	331638064	375735889	Chr4D	331779306	375686787	303	0.9996435643564356
Chr4D	377828182	410407878	Chr4D	377775997	410310201	238	0.999264705882353
Chr4D	412715801	509853899	Chr4D	412602740	509950584	1163	0.9994411006018916
Chr4D	505700667	507006408	Chr4D	511365075	512674874	24	0.9998333333333335
