gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	250369	258919	+	254644	1.0	1.0	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	259362	263505	-	261433	1.0	1.0	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	272656	273599	-	273127	1.0	1.0	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	279352	289424	+	284388	1.0	1.0	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	326315	327315	-	326815	1.0	1.0	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	389113	391290	+	390201	1.0	1.0	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	396069	400877	-	398473	1.0	1.0	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	471994	473071	-	472532	1.0	1.0	collinear
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	498907	502516	+	500711	1.0	1.0	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	511382	514968	+	513175	1.0	1.0	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	523708	527051	+	525379	1.0	1.0	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	527668	531424	-	529546	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	531622	534531	+	533076	1.0	1.0	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	560892	563807	-	562349	1.0	1.0	collinear
gene:TraesCS2A02G001500	Chr2A	580888	585420	-	583154	Chr2A	578869	583401	-	581135	1.0	1.0	collinear
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	723635	725724	+	724679	1.0	1.0	collinear
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	728142	730497	+	729319	1.0	1.0	collinear
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	780091	780912	+	780501	1.0	1.0	collinear
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	811926	812799	+	812362	1.0	1.0	collinear
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	884928	885684	+	885306	1.0	0.996	collinear
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	1228280	1229883	-	1229081	1.0	1.0	collinear
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	1423029	1424057	-	1423543	1.0	1.0	collinear
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	1428836	1440401	-	1434618	1.0	0.979	collinear
gene:TraesCS2A02G002600	Chr2A	1608666	1609163	+	1608914	Chr2A	1665722	1666219	+	1665970	1.0	1.0	collinear
gene:TraesCS2A02G002700	Chr2A	1685582	1687293	+	1686437	Chr2A	1751281	1752992	+	1752136	1.0	1.0	collinear
gene:TraesCS2A02G002800	Chr2A	1776596	1778573	+	1777584	Chr2A	1841287	1843264	+	1842275	1.0	1.0	collinear
gene:TraesCS2A02G002900	Chr2A	1783499	1785409	-	1784454	Chr2A	1848046	1849956	-	1849001	1.0	1.0	collinear
gene:TraesCS2A02G003000	Chr2A	1857935	1863412	-	1860673	Chr2A	1921768	1927033	-	1924400	1.0	1.0	collinear
gene:TraesCS2A02G003100	Chr2A	1871479	1877682	+	1874580	Chr2A	1935100	1941200	+	1938150	1.0	1.0	collinear
gene:TraesCS2A02G003200	Chr2A	2226935	2231232	+	2229083	Chr2A	2289325	2293622	+	2291473	1.0	1.0	collinear
gene:TraesCS2A02G003300	Chr2A	2259876	2261721	-	2260798	Chr2A	2322266	2324111	-	2323188	1.0	1.0	collinear
gene:TraesCS2A02G003400	Chr2A	2273380	2274666	-	2274023	Chr2A	2335769	2337055	-	2336412	1.0	1.0	collinear
gene:TraesCS2A02G003600	Chr2A	2321343	2325578	+	2323460	Chr2A	2383732	2387967	+	2385849	1.0	0.999	collinear
gene:TraesCS2A02G003700	Chr2A	2331523	2337129	+	2334326	Chr2A	2393912	2399518	+	2396715	1.0	1.0	collinear
gene:TraesCS2A02G003800	Chr2A	2352114	2353022	-	2352568	Chr2A	2414503	2415411	-	2414957	1.0	1.0	collinear
gene:TraesCS2A02G004100	Chr2A	2366335	2367372	+	2366853	Chr2A	2428724	2429761	+	2429242	1.0	1.0	collinear
gene:TraesCS2A02G003900	Chr2A	2355896	2382397	+	2369146	Chr2A	2418285	2444786	+	2431535	1.0	1.0	collinear
gene:TraesCS2A02G004200	Chr2A	2373231	2377514	-	2375372	Chr2A	2435620	2439903	-	2437761	1.0	1.0	collinear
gene:TraesCS2A02G004300	Chr2A	2377872	2379498	+	2378685	Chr2A	2440261	2441887	+	2441074	1.0	1.0	collinear
gene:TraesCS2A02G004400	Chr2A	2402808	2403208	+	2403008	Chr2A	2465197	2465597	+	2465397	1.0	1.0	collinear
gene:TraesCS2A02G004500	Chr2A	2405864	2407866	+	2406865	Chr2A	2468253	2470255	+	2469254	1.0	1.0	collinear
gene:TraesCS2A02G004600	Chr2A	2463117	2466740	-	2464928	Chr2A	2525506	2529129	-	2527317	1.0	1.0	collinear
gene:TraesCS2A02G004700	Chr2A	2476815	2481845	-	2479330	Chr2A	2539204	2544234	-	2541719	1.0	1.0	collinear
gene:TraesCS2A02G004800	Chr2A	2481972	2487182	+	2484577	Chr2A	2544361	2549571	+	2546966	1.0	1.0	collinear
gene:TraesCS2A02G004900	Chr2A	2488830	2495245	-	2492037	Chr2A	2551227	2557615	-	2554421	1.0	1.0	collinear
gene:TraesCS2A02G005000	Chr2A	2637762	2653834	+	2645798	Chr2A	3148858	3164565	-	3156711	1.0	1.0	collinear
gene:TraesCS2A02G005100	Chr2A	2655708	2657588	+	2656648	Chr2A	3145104	3146984	-	3146044	1.0	1.0	collinear
gene:TraesCS2A02G005200	Chr2A	2657374	2660973	-	2659173	Chr2A	3141719	3145318	+	3143518	1.0	1.0	collinear
gene:TraesCS2A02G005300	Chr2A	2693455	2697385	+	2695420	Chr2A	3105724	3109654	-	3107689	1.0	1.0	collinear
gene:TraesCS2A02G005400	Chr2A	2700528	2700923	-	2700725	Chr2A	3102186	3102581	+	3102383	1.0	1.0	collinear
gene:TraesCS2A02G005500	Chr2A	2708175	2708888	-	2708531	Chr2A	3094221	3094934	+	3094577	1.0	1.0	collinear
gene:TraesCS2A02G005600	Chr2A	2713730	2714453	+	2714091	Chr2A	3088656	3089379	-	3089017	1.0	1.0	collinear
gene:TraesCS2A02G005700	Chr2A	2726159	2727824	+	2726991	Chr2A	3075260	3076925	-	3076092	1.0	1.0	collinear
gene:TraesCS2A02G005800	Chr2A	2739129	2740683	-	2739906	Chr2A	3062401	3063955	+	3063178	1.0	1.0	collinear
gene:TraesCS2A02G005900	Chr2A	2758823	2760115	-	2759469	Chr2A	3043315	3044607	+	3043961	1.0	1.0	collinear
gene:TraesCS2A02G006000	Chr2A	2791671	2794776	-	2793223	Chr2A	3008654	3011759	+	3010206	1.0	1.0	collinear
gene:TraesCS2A02G006100	Chr2A	2817615	2820056	-	2818835	Chr2A	2981431	2983872	+	2982651	1.0	1.0	collinear
gene:TraesCS2A02G006200	Chr2A	2839126	2854913	+	2847019	Chr2A	2947690	2962866	-	2955278	1.0	1.0	collinear
gene:TraesCS2A02G006300	Chr2A	2860739	2862513	+	2861626	Chr2A	2940100	2941874	-	2940987	1.0	1.0	collinear
gene:TraesCS2A02G006400	Chr2A	2876139	2877842	+	2876990	Chr2A	2924927	2926630	-	2925778	1.0	1.0	collinear
gene:TraesCS2A02G006500	Chr2A	2880736	2885432	+	2883084	Chr2A	2917337	2922033	-	2919685	1.0	1.0	collinear
gene:TraesCS2A02G006600	Chr2A	2892625	2893791	-	2893208	Chr2A	2908978	2910144	+	2909561	1.0	1.0	collinear
gene:TraesCS2A02G006700	Chr2A	2895357	2896658	+	2896007	Chr2A	2906111	2907412	-	2906761	1.0	1.0	collinear
gene:TraesCS2A02G006800	Chr2A	2914803	2920979	+	2917891	Chr2A	2881790	2887966	-	2884878	1.0	1.0	collinear
gene:TraesCS2A02G006900	Chr2A	2964420	2965424	+	2964922	Chr2A	2838431	2839435	-	2838933	1.0	1.0	collinear
gene:TraesCS2A02G007000	Chr2A	2986007	2990362	+	2988184	Chr2A	2813845	2818200	-	2816022	1.0	1.0	collinear
gene:TraesCS2A02G007100	Chr2A	3099245	3101998	+	3100621	Chr2A	5083952	5086774	-	5085363	1.0	0.945	collinear
gene:TraesCS2A02G007200	Chr2A	3106369	3111490	+	3108929	Chr2A	5074460	5079581	-	5077020	1.0	1.0	collinear
gene:TraesCS2A02G007300	Chr2A	3111972	3114111	+	3113041	Chr2A	5071839	5073978	-	5072908	1.0	1.0	collinear
gene:TraesCS2A02G007400	Chr2A	3258838	3280577	-	3269707	Chr2A	5120274	5141496	-	5130885	1.0	1.0	collinear
gene:TraesCS2A02G007500	Chr2A	3333157	3336110	-	3334633	Chr2A	5190513	5193466	-	5191989	1.0	1.0	collinear
gene:TraesCS2A02G007600	Chr2A	3351281	3351679	+	3351480	Chr2A	5208324	5208722	+	5208523	1.0	1.0	collinear
gene:TraesCS2A02G007700	Chr2A	3400981	3406474	-	3403727	Chr2A	5257672	5262900	-	5260286	1.0	1.0	collinear
gene:TraesCS2A02G007800	Chr2A	3442301	3447773	+	3445037	Chr2A	5297982	5303454	+	5300718	1.0	1.0	collinear
gene:TraesCS2A02G007900	Chr2A	3448583	3450490	-	3449536	Chr2A	5304264	5306171	-	5305217	1.0	1.0	collinear
gene:TraesCS2A02G008000	Chr2A	3523032	3524646	+	3523839	Chr2A	5378713	5380327	+	5379520	1.0	1.0	collinear
gene:TraesCS2A02G008100	Chr2A	3532809	3534386	-	3533597	Chr2A	5388490	5390067	-	5389278	1.0	1.0	collinear
gene:TraesCS2A02G008200	Chr2A	3538294	3540001	+	3539147	Chr2A	5393975	5395682	+	5394828	1.0	1.0	collinear
gene:TraesCS2A02G008300	Chr2A	3594024	3595544	+	3594784	Chr2A	5449423	5450943	+	5450183	1.0	1.0	collinear
