cs_chr	cs_start	cs_end	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	n_anchors	mean_identity
Chr3A	16208	128718501	Chr3A	28273	140281429	1412	0.9993838526912182
Chr3A	130835529	181088605	Chr3A	142385461	192745740	220	0.9995954545454545
Chr3A	184214632	251342423	Chr3A	195861474	263087799	205	0.9997268292682928
Chr3A	259064196	267056348	Chr3A	270762150	278734659	12	0.9983333333333334
Chr3A	269215500	273159995	Chr3A	280899243	284859700	6	0.9998333333333335
Chr3A	275284207	283103162	Chr3A	286968946	294756278	7	1.0
Chr3A	288539387	293589663	Chr3A	300173801	305236714	6	1.0
Chr3A	295949198	314620161	Chr3A	307569651	326084417	24	0.9983333333333334
Chr3A	321109384	337881732	Chr3A	331805909	349096037	30	0.9991666666666668
Chr3A	340259729	343231466	Chr3A	351562540	354510700	8	0.9981249999999999
Chr3A	345871376	349014829	Chr3A	357146906	360275758	6	1.0
Chr3A	351126951	528599904	Chr3A	362401176	539882147	878	0.9996389521640091
Chr3A	533624052	545153837	Chr3A	540011789	551488699	77	0.9998831168831169
Chr3A	556260652	750741087	Chr3A	557130345	754027567	2197	0.9996408739189805
Chr3A	529107092	530496965	Chr3A	554721223	556115599	15	0.9998
Chr3A	531078912	533129337	Chr3A	552104725	554142759	27	0.999925925925926
Chr3A	545257989	547981226	Chr3A	108144909	110862143	30	1.0
Chr3A	549266231	555697701	Chr3A	112140069	118534404	47	0.9997234042553191
