cs_chr	CS_v2.1_tgt_chr	n_anchors	CS_v2.1_mean_anchor_gap_Mb	CS_v2.1_interp_type	n_segments	CS_v2.1_mean_anchor_fraction
Chr1A	Chr1A	4301	0.138	linear	1	0.991
Chr1B	Chr1B+Chr1B	4676	0.101	linear+linear	2	0.994
Chr1D	Chr1D	4450	0.111	linear	1	0.993
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5508	0.605	linear+linear+linear+linear+pchip_inverted+linear	6	0.965
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5855	0.059	linear+linear+linear+linear+pchip_inverted	5	0.86
Chr2D	Chr2D+Chr2D	5729	0.083	linear+pchip_inverted	2	0.986
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	5211	0.112	linear+linear+linear+pchip+pchip	5	0.996
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5761	1.088	linear+pchip+linear+linear+pchip_inverted	5	0.984
Chr3D	Chr3D+Chr3D+Chr3D	5306	0.173	linear+pchip_inverted+pchip_inverted	3	0.998
Chr4A	Chr4A+Chr4A+Chr4A	4835	0.27	linear+linear+linear	3	0.995
Chr4B	Chr4B	3851	0.175	linear	1	0.987
Chr4D	Chr4D+Chr4D	3555	0.101	linear+linear	2	0.992
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5388	0.118	linear+linear+linear+linear	4	0.993
Chr5B	Chr5B+Chr5B+Chr5B	5535	0.091	linear+linear+pchip	3	0.993
Chr5D	Chr5D+Chr5D	5536	0.072	linear+linear	2	0.996
Chr6A	Chr6A	4108	0.15	linear	1	0.993
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B	4590	0.122	linear+linear+linear+linear	4	0.992
Chr6D	Chr6D+Chr6D	3982	0.101	linear+linear	2	0.996
Chr7A	Chr7A+Chr7A	5502	0.081	linear+linear	2	0.993
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4742	0.144	linear+linear+linear+pchip_inverted	4	0.986
Chr7D	Chr7D+Chr7D	5350	0.081	linear+pchip_inverted	2	0.993
