cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3D	111986	116881691	Chr3D	472920	122830260	1360	0.9983433823529411
Chr3D	119094314	145655212	Chr3D	125017191	150656308	154	0.9996623376623377
Chr3D	147725835	194192900	Chr3D	152753692	199824402	262	0.9996526717557251
Chr3D	197544325	200969144	Chr3D	203169672	206591633	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	209102355	209138411	4	0.9995
Chr3D	207531742	214535149	Chr3D	213440583	219917749	11	0.9998181818181819
Chr3D	216957444	220088873	Chr3D	222329015	225415629	6	1.0
Chr3D	226016244	232933791	Chr3D	231526292	238428840	13	0.9999230769230769
Chr3D	235055553	258632836	Chr3D	240543061	264075689	41	0.9997560975609756
Chr3D	260879965	492833467	Chr3D	266319435	497513972	1656	0.9990603864734299
Chr3D	495347019	619489515	Chr3D	500470656	623570671	1592	0.9980232412060301
