cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3A	28273	2015787	Chr3A	1109675	2597199	17	0.9669411764705882
Chr3A	6969528	140281429	Chr3A	2703242	137029129	1385	0.9962700361010831
Chr3A	142385461	192745740	Chr3A	139100365	188579406	216	0.9983518518518518
Chr3A	195861474	263087799	Chr3A	191683710	259518082	205	0.999180487804878
Chr3A	270762150	278734659	Chr3A	267109110	275056602	12	0.9978333333333333
Chr3A	280899243	284486197	Chr3A	277231384	280763429	5	0.9994
Chr3A	286968946	294756278	Chr3A	283260272	291029240	7	0.9998571428571428
Chr3A	302081152	305236714	Chr3A	298967660	302130368	5	0.999
Chr3A	307569651	328087198	Chr3A	304469071	324875671	26	0.9996538461538461
Chr3A	331805909	349096037	Chr3A	332111639	349213512	30	0.9990333333333332
Chr3A	351562540	354510700	Chr3A	351602309	354536518	8	0.9998750000000001
Chr3A	357146906	360275758	Chr3A	357180792	360296562	6	0.9996666666666667
Chr3A	362401176	754027567	Chr3A	362400173	757164032	3069	0.9971313131313131
