cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr5B	83427216	84113546	Chr5B	76778990	77464107	7	0.9991428571428571
Chr5B	18593	606422	Chr5B	1564912	2412286	6	0.9893333333333333
Chr5B	7025771	150623157	Chr5B	2946756	148521046	914	0.9953336980306345
Chr5B	153027140	155842028	Chr5B	150886110	154944917	5	0.9992000000000001
Chr5B	158568371	169148558	Chr5B	156722415	167149099	17	0.9978823529411764
Chr5B	193712534	194129805	Chr5B	190503611	190931631	3	0.9986666666666667
Chr5B	206148489	210381290	Chr5B	201878653	206103508	8	0.9982500000000001
Chr5B	222313523	239465934	Chr5B	219878114	236756007	65	0.9936153846153848
Chr5B	241488361	344742710	Chr5B	238564763	341588448	576	0.9977604166666667
Chr5B	346985936	386215007	Chr5B	343812338	383042020	216	0.998199074074074
Chr5B	389314561	415604247	Chr5B	383299173	409186072	195	0.9956410256410255
Chr5B	417734794	469969237	Chr5B	410481405	465885259	450	0.9966666666666667
Chr5B	476070254	481753451	Chr5B	471789936	477389887	68	0.9925147058823529
Chr5B	487627654	714058472	Chr5B	481630884	701331124	2279	0.9896292233435716
Chr5B	470018453	475708003	Chr5B	466120654	471635976	45	0.9968444444444444
Chr5B	480963912	486009400	Chr5B	476642197	481621510	50	0.9939
