cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr2A	265047681	267066623	Chr2A	256025387	258120916	7	0.9995714285714286
Chr2A	269745498	277781081	Chr2A	246090174	254826492	16	0.9926875
Chr2A	279829079	283404262	Chr2A	240398708	243924898	18	0.9959444444444444
Chr2A	341776760	342646626	Chr2A	334918711	335914838	6	0.9956666666666667
Chr2A	254644	237897856	Chr2A	257520	239573601	2062	0.9950921435499516
Chr2A	260439994	262863052	Chr2A	260435632	262828409	8	0.9975
Chr2A	283478083	286214975	Chr2A	284721542	287482726	5	0.9984
Chr2A	288400047	290885926	Chr2A	289735450	292324622	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	294844037	299677999	7	0.9911428571428572
Chr2A	301588230	310989480	Chr2A	301996393	312946897	10	0.9969999999999999
Chr2A	313973952	319393694	Chr2A	315926969	322762454	7	0.9930000000000001
Chr2A	322290657	328918706	Chr2A	325603059	332348902	12	0.9951666666666666
Chr2A	336183568	339973117	Chr2A	337733958	341519902	22	0.9917727272727273
Chr2A	345702682	366697851	Chr2A	349730800	371375849	33	0.9965757575757576
Chr2A	368718225	399870506	Chr2A	372774037	403302262	99	0.9955353535353533
Chr2A	404353227	404860525	Chr2A	407775230	408253251	4	0.99525
Chr2A	409607272	490304153	Chr2A	412954290	493543743	271	0.9972546125461254
Chr2A	492634434	551591979	Chr2A	495861867	553812221	315	0.9960507936507937
Chr2A	553651491	785143334	Chr2A	555872457	789558078	2454	0.9958700081499592
Chr2A	786354454	786830028	Chr2A	795050818	795569699	7	0.9682857142857143
