gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	3197305	3201142	+	3199223	0.981	0.943
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	2923369	2927748	-	2925558	1.0	0.997
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	2889042	2892341	+	2890691	1.0	1.0
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	2706018	2708923	+	2707470	0.981	0.921
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	2694324	2698674	+	2696499	0.993	0.946
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	2679588	2681136	-	2680362	0.98	0.938
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2576462	2577890	-	2577176	1.0	0.999
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	2566469	2568727	+	2567598	0.999	0.994
gene:TraesCS3B03G0005500	Chr3B	2264941	2267104	-	2266022	Chr3B	2549074	2551238	+	2550156	1.0	0.986
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	2381675	2385883	-	2383779	0.992	0.971
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2426461	2429288	-	2427874	0.998	0.969
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2434968	2438039	-	2436503	1.0	0.967
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	2502286	2504682	-	2503484	1.0	0.996
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2521894	2530575	+	2526234	1.0	0.993
