cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr1A	21923960	161541694	Chr1A	21630154	162240824	868	0.9973652073732718
Chr1A	163678239	179426534	Chr1A	164411826	180155164	31	0.9990967741935485
Chr1A	181647298	184244993	Chr1A	182251918	184826211	5	0.9996
Chr1A	187212146	195578524	Chr1A	187797606	196200756	11	0.9997272727272727
Chr1A	202719482	204217307	Chr1A	203396237	204885503	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	207104543	212088027	8	0.9998750000000001
Chr1A	214015968	411777219	Chr1A	214597303	416436164	914	0.9964070021881837
Chr1A	413826758	549266979	Chr1A	418824697	554922076	1265	0.9949470355731227
Chr1A	559851908	564520690	Chr1A	566306211	570827083	62	0.9939516129032256
Chr1A	575760323	588330777	Chr1A	581786172	595308530	196	0.9961989795918367
Chr1A	591310083	596280032	Chr1A	597912087	602748991	48	0.9924583333333333
Chr1A	549620859	559538843	Chr1A	571162999	581495390	168	0.9952559523809522
Chr1A	564786015	575669407	Chr1A	555088542	566041202	132	0.9943030303030302
Chr1A	588424292	591267667	Chr1A	602790943	605941429	39	0.9913076923076923
Chr1A	596478993	598556974	Chr1A	595531861	597711600	26	0.9857307692307692
