cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr2B	31439	211003478	Chr2B	106141	204291728	1802	0.9935044395116538
Chr2B	213718220	248272484	Chr2B	204390807	239154112	205	0.997751219512195
Chr2B	250482935	283157104	Chr2B	241610718	274250228	141	0.9990780141843972
Chr2B	285496966	304609294	Chr2B	276585319	302098153	28	0.9992500000000001
Chr2B	308444889	331681179	Chr2B	295199046	322029951	30	0.9998333333333334
Chr2B	333809245	346552298	Chr2B	324204009	337023049	20	0.99985
Chr2B	348999066	355740303	Chr2B	339464359	346139091	9	0.9998888888888889
Chr2B	360072831	363706950	Chr2B	349865710	356291664	5	1.0
Chr2B	365734406	709554427	Chr2B	358204317	683673893	2116	0.9938771266540642
Chr2B	712235001	812251327	Chr2B	684446595	778341103	814	0.9770147420147419
