gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	4014437	4015392	+	4014914	1.0	0.949
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	2620190	2622748	-	2621469	1.0	0.988
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	2683124	2684526	+	2683825	1.0	0.915
gene:TraesCS6B03G0003000	Chr6B	919543	920926	-	920234	Chr6B	1369944	1371013	-	1370478	1.0	0.978
gene:TraesCS6B03G0003100	Chr6B	921163	922065	+	921614	Chr6B	1371832	1372765	+	1372298	1.0	0.928
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	3137920	3138883	+	3138401	0.997	0.904
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	2306855	2308696	+	2307775	1.0	0.989
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	2393709	2396832	-	2395270	1.0	0.994
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	2407553	2408329	+	2407941	1.0	0.993
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	147794	149568	-	148681	0.993	0.989
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	3438984	3450810	+	3444897	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	3480286	3484915	+	3482600	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	3617861	3678713	-	3648287	1.0	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	3683463	3685960	-	3684711	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	3824822	3885285	-	3855053	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	3949775	3951615	+	3950695	1.0	0.997
gene:TraesCS6B03G0009100	Chr6B	2860011	2862961	-	2861486	Chr6B	2717754	2720848	+	2719301	0.973	0.905
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	2066996	2067793	+	2067394	0.998	0.974
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	4050219	4051174	+	4050696	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	4060586	4061507	+	4061046	1.0	0.983
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	4065067	4069478	-	4067272	1.0	0.998
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	4078761	4082987	+	4080874	1.0	0.995
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	4084963	4085952	-	4085457	0.99	0.947
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	4092422	4092836	+	4092629	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	4142149	4143123	+	4142636	0.995	0.948
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	4380332	4385082	+	4382707	0.998	0.991
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	4405365	4412049	+	4408707	1.0	0.999
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	4418012	4418689	+	4418350	1.0	0.997
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	4442744	4448849	+	4445796	1.0	0.996
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	4494685	4502285	+	4498485	1.0	0.993
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	5309814	5312313	-	5311063	1.0	0.98
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	4684811	4686747	+	4685779	0.996	0.949
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	4864450	4868679	-	4866564	0.972	0.939
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	5077790	5082175	+	5079982	0.996	0.98
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	5085561	5087370	+	5086465	0.959	0.937
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	5205974	5206933	-	5206453	1.0	0.971
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	5435406	5436272	-	5435839	1.0	0.997
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	6007222	6017169	-	6012195	0.994	0.967
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	6029091	6029594	+	6029342	1.0	0.971
gene:TraesCS6B03G0019900	Chr6B	6111305	6111814	+	6111559	Chr6B	5988057	5988566	-	5988311	1.0	0.968
gene:TraesCS6B03G0020300	Chr6B	6173873	6174172	-	6174022	Chr6B	6243149	6243449	-	6243299	1.0	0.996
gene:TraesCS6B03G0021800	Chr6B	6396832	6398301	+	6397566	Chr6B	6337957	6339426	+	6338691	1.0	0.972
gene:TraesCS6B03G0026300	Chr6B	8097787	8103181	-	8100484	Chr6B	6480362	6485604	+	6482983	0.99	0.951
gene:TraesCS6B03G0027300	Chr6B	9653692	9654627	-	9654159	Chr6B	7661316	7662251	-	7661783	1.0	0.994
gene:TraesCS6B03G0027900	Chr6B	9741098	9747771	-	9744434	Chr6B	7702640	7709313	-	7705976	1.0	0.997
gene:TraesCS6B03G0028000	Chr6B	9849485	9853509	-	9851497	Chr6B	7808694	7812714	-	7810704	0.997	0.997
gene:TraesCS6B03G0028100	Chr6B	9926549	9932499	-	9929524	Chr6B	7901673	7907624	-	7904648	1.0	1.0
gene:TraesCS6B03G0028400	Chr6B	9941555	9944126	-	9942840	Chr6B	7916681	7919252	-	7917966	1.0	1.0
gene:TraesCS6B03G0028500	Chr6B	10037046	10039187	+	10038116	Chr6B	8012172	8014313	+	8013242	1.0	1.0
gene:TraesCS6B03G0029000	Chr6B	10213284	10216091	-	10214687	Chr6B	8199244	8202051	-	8200647	1.0	1.0
gene:TraesCS6B03G0029100	Chr6B	10225478	10230400	+	10227939	Chr6B	8211517	8216439	+	8213978	1.0	1.0
gene:TraesCS6B03G0029200	Chr6B	10240300	10250359	+	10245329	Chr6B	8226349	8236407	+	8231378	1.0	0.999
gene:TraesCS6B03G0029300	Chr6B	10250755	10251366	-	10251060	Chr6B	8236803	8237414	-	8237108	1.0	1.0
gene:TraesCS6B03G0029400	Chr6B	10251988	10252587	-	10252287	Chr6B	8238036	8238635	-	8238335	1.0	1.0
gene:TraesCS6B03G0029500	Chr6B	10257018	10260872	+	10258945	Chr6B	8243066	8246920	+	8244993	1.0	0.999
gene:TraesCS6B03G0029700	Chr6B	10268900	10269590	+	10269245	Chr6B	8254947	8255637	+	8255292	1.0	1.0
