cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr4D	1391995	141272747	Chr4D	14646	142347726	1386	0.999157287157287
Chr4D	143939177	159173700	Chr4D	145006040	160227116	18	0.9977777777777777
Chr4D	163710731	183649096	Chr4D	164753251	184373393	25	0.99948
Chr4D	188969484	192971731	Chr4D	190606084	194600536	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	196869249	200406450	7	0.9994285714285714
Chr4D	201663396	205088496	Chr4D	203708923	209618344	6	1.0
Chr4D	207160289	212424003	Chr4D	210798227	215937432	20	0.9995500000000002
Chr4D	214566503	228344802	Chr4D	218068092	231816015	23	0.998521739130435
Chr4D	230503918	238850566	Chr4D	234011247	242308308	10	0.9994
Chr4D	241150325	249170093	Chr4D	244598498	253414830	18	0.9993888888888888
Chr4D	251744642	256746015	Chr4D	255985419	260979438	7	0.999
Chr4D	259082246	261473317	Chr4D	263301827	265701400	6	1.0
Chr4D	264155329	268258812	Chr4D	268385803	272461979	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	275040180	288596466	19	0.9976842105263156
Chr4D	286726699	329466878	Chr4D	290876581	333696002	222	0.9992927927927928
Chr4D	331779306	375686787	Chr4D	336001177	379952351	301	0.9993421926910298
Chr4D	377775997	410310201	Chr4D	382064047	417808936	237	0.9990632911392404
Chr4D	412602740	510185437	Chr4D	420624347	524112823	1141	0.9991323400525856
