cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr5A	2225913	62409843	Chr5A	75970	61695961	524	0.9967175572519084
Chr5A	65256920	152899436	Chr5A	64946132	152004798	401	0.9978379052369076
Chr5A	156754150	160718182	Chr5A	155846458	159834774	13	1.0
Chr5A	163084098	182449906	Chr5A	162194312	181706952	37	0.9996756756756756
Chr5A	184871905	185667222	Chr5A	184115490	184908409	3	1.0
Chr5A	192446609	200581324	Chr5A	191646772	199744740	16	0.9994375
Chr5A	204816399	224020772	Chr5A	204004091	223416616	33	0.9996666666666668
Chr5A	226098410	238494644	Chr5A	225491228	238753238	28	0.9998214285714286
Chr5A	243927664	251028605	Chr5A	244958388	254866446	15	0.9999333333333333
Chr5A	259606122	428812755	Chr5A	260770313	429937374	897	0.9987926421404683
Chr5A	431918117	713328361	Chr5A	430232535	726631800	3207	0.9965141877143748
