gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS3D03G0000100	Chr3D	110199	113774	+	111986	Chr3D	471133	474708	+	472920	1.0	1.0
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	522916	526859	-	524887	1.0	1.0
gene:TraesCS3D03G0000600	Chr3D	285779	290894	+	288336	Chr3D	646726	652237	+	649481	1.0	1.0
gene:TraesCS3D03G0000800	Chr3D	298085	298420	+	298252	Chr3D	659428	659763	+	659595	1.0	1.0
gene:TraesCS3D03G0001100	Chr3D	351113	355413	+	353263	Chr3D	712472	716772	+	714622	1.0	1.0
gene:TraesCS3D03G0001200	Chr3D	368030	372630	-	370330	Chr3D	728930	733530	-	731230	1.0	1.0
gene:TraesCS3D03G0001900	Chr3D	579644	582517	-	581080	Chr3D	937564	940437	-	939000	1.0	1.0
gene:TraesCS3D03G0002000	Chr3D	616224	620987	-	618605	Chr3D	973999	978762	-	976380	1.0	0.999
gene:TraesCS3D03G0002100	Chr3D	622874	624603	+	623738	Chr3D	980649	982378	+	981513	1.0	1.0
gene:TraesCS3D03G0002200	Chr3D	677889	685725	+	681807	Chr3D	1034992	1042828	+	1038910	1.0	1.0
gene:TraesCS3D03G0002300	Chr3D	693528	696046	+	694787	Chr3D	1050266	1052784	+	1051525	1.0	0.997
gene:TraesCS3D03G0002400	Chr3D	718720	721668	+	720194	Chr3D	1075508	1078456	+	1076982	1.0	1.0
gene:TraesCS3D03G0002700	Chr3D	817877	820684	+	819280	Chr3D	1174241	1177052	+	1175646	0.998	0.996
gene:TraesCS3D03G0002800	Chr3D	827469	829078	+	828273	Chr3D	1181590	1183199	+	1182394	1.0	1.0
gene:TraesCS3D03G0002900	Chr3D	830991	833295	+	832143	Chr3D	1185112	1187417	+	1186264	1.0	1.0
gene:TraesCS3D03G0003000	Chr3D	841262	844418	+	842840	Chr3D	1195380	1198536	+	1196958	1.0	1.0
gene:TraesCS3D03G0003200	Chr3D	873983	876197	+	875090	Chr3D	1228102	1230316	+	1229209	1.0	1.0
gene:TraesCS3D03G0003300	Chr3D	884205	886622	+	885413	Chr3D	1237391	1239808	+	1238599	1.0	0.999
gene:TraesCS3D03G0003500	Chr3D	901329	904718	-	903023	Chr3D	1254525	1257914	-	1256219	1.0	1.0
gene:TraesCS3D03G0003800	Chr3D	931898	935486	+	933692	Chr3D	1284356	1287944	+	1286150	1.0	0.996
