gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS4A03G0117000	Chr4A	54082770	54086286	-	54084528	Chr4A	67784650	67788166	+	67786408	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117300	Chr4A	54379904	54381472	-	54380688	Chr4A	67501287	67502855	+	67502071	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117600	Chr4A	55349876	55352750	-	55351313	Chr4A	66509011	66511881	+	66510446	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117700	Chr4A	55361788	55371132	-	55366460	Chr4A	66491913	66500143	+	66496028	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117800	Chr4A	55543502	55546248	+	55544875	Chr4A	66293104	66295850	-	66294477	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118200	Chr4A	55882446	55889295	+	55885870	Chr4A	65927905	65934753	-	65931329	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118400	Chr4A	56112381	56114640	+	56113510	Chr4A	65714880	65717137	-	65716008	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118700	Chr4A	56220062	56223069	-	56221565	Chr4A	65599174	65602180	+	65600677	0.999	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118900	Chr4A	56228922	56231502	+	56230212	Chr4A	65590643	65593221	-	65591932	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119200	Chr4A	56234911	56240038	-	56237474	Chr4A	65582107	65587233	+	65584670	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119300	Chr4A	56438575	56449004	-	56443789	Chr4A	65369770	65380209	+	65374989	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119500	Chr4A	56463206	56467382	-	56465294	Chr4A	65351381	65355566	+	65353473	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119700	Chr4A	56467828	56472223	-	56470025	Chr4A	65346541	65350935	+	65348738	0.999	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119900	Chr4A	56475666	56477514	-	56476590	Chr4A	65341250	65343098	+	65342174	1.0	0.978	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120000	Chr4A	57140692	57144758	+	57142725	Chr4A	64628545	64632611	-	64630578	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120100	Chr4A	57384599	57386637	+	57385618	Chr4A	64394486	64396523	-	64395504	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120400	Chr4A	57410695	57411463	+	57411079	Chr4A	64369731	64370499	-	64370115	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120600	Chr4A	57493151	57497122	+	57495136	Chr4A	64284291	64288263	-	64286277	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120700	Chr4A	57794524	57797073	+	57795798	Chr4A	63981908	63984457	-	63983182	1.0	0.987	rearrangement:Chr4A_block1
gene:TraesCS4A03G0121400	Chr4A	58090907	58092587	-	58091747	Chr4A	63665484	63667164	+	63666324	1.0	0.989	rearrangement:Chr4A_block1
gene:TraesCS4A03G0121500	Chr4A	58092749	58096539	-	58094644	Chr4A	63661532	63665322	+	63663427	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0121600	Chr4A	58213005	58216101	-	58214553	Chr4A	63555771	63558867	+	63557319	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0121800	Chr4A	58341030	58341907	-	58341468	Chr4A	63429579	63430456	+	63430017	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0155800	Chr4A	75940995	75945605	+	75943300	Chr4A	70925966	70932494	-	70929230	1.0	0.995	rearrangement:Chr4A_block1
