cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6B	304323	43561025	Chr6B	148681	43065425	436	0.9891834862385321
Chr6B	45738641	109698670	Chr6B	43700705	105302216	483	0.994287784679089
Chr6B	112200748	114854793	Chr6B	107814810	110480349	7	0.9995714285714286
Chr6B	117445277	132536595	Chr6B	113725058	133681830	116	0.9915172413793103
Chr6B	134991565	142324014	Chr6B	141573882	148850319	47	0.9924893617021276
Chr6B	144437167	146701998	Chr6B	136557231	138392963	8	0.9895
Chr6B	150857498	184043976	Chr6B	152552240	189968892	167	0.9936107784431139
Chr6B	206488331	217350068	Chr6B	210985771	224257681	43	0.9985581395348836
Chr6B	233356422	246426312	Chr6B	246450831	262902316	79	0.999506329113924
Chr6B	252863776	256302862	Chr6B	267928475	271342322	16	0.9931874999999999
Chr6B	261263057	268713242	Chr6B	272204769	279204646	28	0.9976071428571428
Chr6B	271066163	271204143	Chr6B	281558940	281702811	6	0.9973333333333333
Chr6B	273275668	273714013	Chr6B	283778330	284214252	3	0.999
Chr6B	278035117	289129738	Chr6B	288046218	299052604	41	0.9981707317073172
Chr6B	292829101	299893030	Chr6B	303476390	310005641	23	0.9942608695652173
Chr6B	301908638	308701890	Chr6B	311686496	318645717	27	0.9964814814814815
Chr6B	310986731	321422238	Chr6B	320875153	332605459	21	0.9985238095238096
Chr6B	324021524	327439454	Chr6B	324647631	336282673	10	0.9978000000000001
Chr6B	340390557	343137943	Chr6B	338564513	340548308	3	0.9986666666666667
Chr6B	348550830	349949438	Chr6B	359824195	361134485	5	0.9960000000000001
Chr6B	376074235	386359934	Chr6B	383038009	397531824	15	0.9988666666666666
Chr6B	410641112	432650099	Chr6B	425934716	447291831	54	0.9973888888888889
Chr6B	438515907	449326149	Chr6B	448109390	459624877	50	0.99878
Chr6B	453019441	471560376	Chr6B	464480586	491276422	78	0.9951538461538462
Chr6B	473848225	486984757	Chr6B	489869591	504722115	78	0.9977435897435896
Chr6B	500327195	515098678	Chr6B	499609641	527195124	76	0.9995131578947367
Chr6B	524252260	629148387	Chr6B	542633631	644906739	637	0.9973328100470956
Chr6B	631157333	635284956	Chr6B	646810748	650841659	33	0.9934545454545454
Chr6B	638657051	731065543	Chr6B	653403971	744867642	871	0.9885901262916187
