gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS6A03G0014800	Chr6A	3702665	3706690	+	3704677	Chr6A	6702076	6706091	-	6704083	1.0	0.989
gene:TraesCS6A03G0015000	Chr6A	3729503	3735623	+	3732563	Chr6A	6671207	6677237	-	6674222	0.999	0.977
gene:TraesCS6A03G0015200	Chr6A	3748307	3752517	+	3750412	Chr6A	6664493	6668595	-	6666544	0.993	0.977
gene:TraesCS6A03G0015400	Chr6A	3791624	3795065	+	3793344	Chr6A	6638820	6642145	-	6640482	1.0	0.997
gene:TraesCS6A03G0015500	Chr6A	3983778	3984395	+	3984086	Chr6A	6479135	6479752	-	6479443	1.0	0.985
gene:TraesCS6A03G0015600	Chr6A	4015558	4016051	+	4015804	Chr6A	6402571	6403063	-	6402817	1.0	0.983
gene:TraesCS6A03G0015800	Chr6A	4066078	4066922	+	4066500	Chr6A	6369526	6370368	-	6369947	0.985	0.942
gene:TraesCS6A03G0017500	Chr6A	4465472	4467836	+	4466654	Chr6A	6270871	6273250	-	6272060	1.0	0.994
gene:TraesCS6A03G0017600	Chr6A	4467915	4470370	+	4469142	Chr6A	6268338	6270792	-	6269565	1.0	0.979
gene:TraesCS6A03G0017800	Chr6A	4482773	4484432	+	4483602	Chr6A	6258674	6260231	-	6259452	0.933	0.917
gene:TraesCS6A03G0017900	Chr6A	4540850	4543144	-	4541997	Chr6A	6197537	6199834	+	6198685	1.0	0.966
gene:TraesCS6A03G0018100	Chr6A	4566908	4568998	-	4567953	Chr6A	6173306	6175406	+	6174356	0.997	0.988
gene:TraesCS6A03G0018400	Chr6A	4646078	4648289	-	4647183	Chr6A	5819547	5821860	+	5820703	0.996	0.96
gene:TraesCS6A03G0018600	Chr6A	4650144	4650962	-	4650553	Chr6A	5816842	5817666	+	5817254	0.984	0.933
gene:TraesCS6A03G0018800	Chr6A	4707838	4709462	+	4708650	Chr6A	5792674	5794300	-	5793487	1.0	0.983
gene:TraesCS6A03G0019500	Chr6A	4996845	4997894	+	4997369	Chr6A	5684859	5685890	+	5685374	0.982	0.959
gene:TraesCS6A03G0020500	Chr6A	5805544	5807529	+	5806536	Chr6A	5016098	5018083	-	5017090	1.0	0.981
gene:TraesCS6A03G0022200	Chr6A	6352582	6353978	-	6353280	Chr6A	5616047	5617461	+	5616754	0.979	0.968
gene:TraesCS6A03G0023100	Chr6A	6509916	6510644	+	6510280	Chr6A	4943717	4944445	-	4944081	1.0	0.984
gene:TraesCS6A03G0023200	Chr6A	6524784	6526124	-	6525454	Chr6A	4936795	4938135	+	4937465	1.0	0.982
gene:TraesCS6A03G0023700	Chr6A	6596976	6599759	-	6598367	Chr6A	4901811	4904887	+	4903349	0.998	0.986
gene:TraesCS6A03G0023800	Chr6A	6622241	6625659	-	6623950	Chr6A	4877268	4880694	+	4878981	0.994	0.966
gene:TraesCS6A03G0023900	Chr6A	6626599	6627983	-	6627291	Chr6A	4875193	4876578	+	4875885	1.0	0.962
gene:TraesCS6A03G0024000	Chr6A	6629538	6630206	-	6629872	Chr6A	4872987	4873655	+	4873321	1.0	0.971
gene:TraesCS6A03G0024300	Chr6A	6660567	6667306	+	6663936	Chr6A	4852322	4859010	-	4855666	0.968	0.957
gene:TraesCS6A03G0024600	Chr6A	6774114	6781537	-	6777825	Chr6A	4750740	4758170	+	4754455	1.0	0.982
gene:TraesCS6A03G0024900	Chr6A	6804836	6805735	-	6805285	Chr6A	4729751	4730644	+	4730197	1.0	0.98
gene:TraesCS6A03G0025400	Chr6A	6851548	6858477	-	6855012	Chr6A	4637976	4644011	+	4640993	1.0	0.989
gene:TraesCS6A03G0025600	Chr6A	6902719	6905185	+	6903952	Chr6A	4597132	4599300	-	4598216	1.0	0.988
gene:TraesCS6A03G0025800	Chr6A	6905399	6906874	-	6906136	Chr6A	4595196	4596913	+	4596054	1.0	0.984
gene:TraesCS6A03G0027100	Chr6A	7152663	7153604	-	7153133	Chr6A	4589103	4590045	+	4589574	1.0	0.974
gene:TraesCS6A03G0027200	Chr6A	7157642	7159485	+	7158563	Chr6A	4583207	4585018	-	4584112	0.975	0.959
gene:TraesCS6A03G0027300	Chr6A	7168596	7170287	-	7169441	Chr6A	4518591	4520282	+	4519436	1.0	0.988
gene:TraesCS6A03G0027400	Chr6A	7196854	7200678	+	7198766	Chr6A	4502165	4505993	-	4504079	0.999	0.983
gene:TraesCS6A03G0028000	Chr6A	7235005	7238338	+	7236671	Chr6A	4268709	4272037	-	4270373	0.998	0.989
gene:TraesCS6A03G0028200	Chr6A	7482648	7485990	+	7484319	Chr6A	3976565	3979924	-	3978244	0.992	0.957
gene:TraesCS6A03G0029200	Chr6A	7851077	7857869	+	7854473	Chr6A	3785409	3792260	-	3788834	1.0	0.991
gene:TraesCS6A03G0029300	Chr6A	7884487	7896338	-	7890412	Chr6A	3764231	3776066	+	3770148	0.992	0.983
gene:TraesCS6A03G0029600	Chr6A	7984516	7986708	+	7985612	Chr6A	3673639	3675831	-	3674735	1.0	0.985
gene:TraesCS6A03G0029800	Chr6A	7997910	8003663	+	8000786	Chr6A	3659521	3665261	-	3662391	0.999	0.984
gene:TraesCS6A03G0029900	Chr6A	8006338	8010273	+	8008305	Chr6A	3652861	3656862	-	3654861	0.996	0.969
gene:TraesCS6A03G0030000	Chr6A	8012421	8019811	+	8016116	Chr6A	3643378	3650721	-	3647049	0.997	0.973
gene:TraesCS6A03G0030700	Chr6A	8173780	8176435	-	8175107	Chr6A	3544729	3547248	+	3545988	0.948	0.928
gene:TraesCS6A03G0031600	Chr6A	8360643	8361830	+	8361236	Chr6A	3384144	3385331	+	3384737	0.998	0.934
