cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr1B	170123	31339892	Chr1B	171392	33528855	412	0.9924126213592234
Chr1B	34154432	38402288	Chr1B	34100053	38619202	28	0.9920714285714284
Chr1B	40611674	81974218	Chr1B	39760760	82854287	260	0.9914884615384615
Chr1B	86500196	91210816	Chr1B	87760565	92478802	16	0.9994375
Chr1B	93460686	224268457	Chr1B	94774091	226273468	579	0.9984145077720207
Chr1B	226868456	237708948	Chr1B	228874328	239767432	15	0.9998666666666666
Chr1B	240313663	244692138	Chr1B	242364885	247229077	7	0.9987142857142857
Chr1B	246841035	249142619	Chr1B	252248319	254533199	6	0.9996666666666667
Chr1B	251958660	272283175	Chr1B	259993807	280073013	49	0.9990612244897961
Chr1B	274419536	296088628	Chr1B	282196028	303770335	79	0.9993924050632911
Chr1B	298738700	298817103	Chr1B	306368054	306446325	5	0.9945999999999999
Chr1B	301350787	315483442	Chr1B	308909513	323649974	50	0.9857799999999999
Chr1B	328166615	501204253	Chr1B	336052403	509977090	1028	0.9963268482490274
Chr1B	506831107	511156374	Chr1B	514587382	518853251	19	0.9932105263157894
Chr1B	515593272	677512613	Chr1B	524740434	685351665	1392	0.9930941091954024
Chr1B	692429531	694498892	Chr1B	697188913	699253709	20	0.9987999999999999
