cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr7B	347847291	350196935	Chr7B	360208330	362561086	5	0.9994
Chr7B	221486	183070778	Chr7B	8167	179532234	1297	0.9952112567463378
Chr7B	185568431	271798168	Chr7B	181980164	266956260	381	0.998496062992126
Chr7B	362128535	393308791	Chr7B	352929222	388724257	136	0.9987426470588235
Chr7B	396179589	410599513	Chr7B	391592867	405518575	52	0.9997692307692307
Chr7B	413179671	423778078	Chr7B	408095227	418623309	45	0.9991555555555556
Chr7B	425791676	545780843	Chr7B	420604892	540497734	775	0.9989006451612904
Chr7B	547795684	754302905	Chr7B	542481208	747678659	1528	0.993931937172775
Chr7B	756580274	756980467	Chr7B	751623742	752222493	10	0.9722999999999999
Chr7B	761472082	763274181	Chr7B	748870647	751120850	16	0.9628749999999999
Chr7B	679329826	679703918	Chr7B	664956721	665348779	6	0.9996666666666667
Chr7B	755130407	756312970	Chr7B	752614812	753797948	20	0.9820500000000001
Chr7B	763361994	763842288	Chr7B	748393877	748866481	10	0.9671999999999998
